Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
12/08/2011;-43,57;145,7886;0;17 075,02;12 521,68;0;;;;;1;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
12/08/2011;-43,5637;145,7829;0;6 804,03;2 268,01;0;;;;;1;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
13/08/2011;-41,9208;144,5409;0;21 546,09;2 693,26;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
13/08/2011;-41,9183;144,539;0;3 039,49;3 039,49;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
13/08/2011;-41,9157;144,5373;0;0;0;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
14/08/2011;-39,0405;142,4134;0;1 776,62;1 776,62;0;;;;;3;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
14/08/2011;-39,0374;142,4005;0;1 605,87;1 605,87;0;;;;;3;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
14/08/2011;-39,0338;142,3859;0;1 238,32;1 238,32;0;;;;;3;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
15/08/2011;-37,8855;139,8236;0;932,36;0;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
15/08/2011;-37,8764;139,8181;0;837,63;1 675,27;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
15/08/2011;-37,8677;139,8136;0;7 789,07;5 841,80;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
16/08/2011;-36,0524;135,6864;0;1 044,39;3 133,18;0;;;;;6;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
16/08/2011;-36,0455;135,6857;0;3 069,63;0;0;;;;;6;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
16/08/2011;-36,0362;135,6764;0;0;0;0;;;;;6;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
17/08/2011;-35,4797;132,1763;0;777,52;1 555,05;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
17/08/2011;-35,4777;132,1626;0;0;0;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
17/08/2011;-35,4756;132,1486;0;0;1 380,26;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
18/08/2011;-35,0721;127,2582;0;0;0;0;;;;;3;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
18/08/2011;-35,0723;127,2351;0;0;0;0;;;;;3;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
18/08/2011;-35,0729;127,2253;0;0;0;0;;;;;3;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
19/08/2011;-34,6047;121,815;0;0;0;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
19/08/2011;-34,6069;121,8093;0;0;1 604,59;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
19/08/2011;-34,6099;121,797;0;0;1 098,42;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
20/08/2011;-35,3157;118,62;0;0;1 541,77;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
20/08/2011;-35,3172;118,6137;0;0;0;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
20/08/2011;-35,3183;118,6074;0;0;2 852,58;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
22/08/2011;-33,1157;114,481;0;889,38;0;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
22/08/2011;-33,12;114,4594;0;0;0;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
22/08/2011;-33,1238;114,4373;0;0;458,37;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;trawl data
