,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,-41,135,1,-41.0,137.0,red
1,-41,136,1,-41.0,137.0,red
2,-40,135,1,-41.0,137.0,red
3,-40,136,1,-41.0,137.0,gray
4,-40,137,1,-41.0,137.0,gray
5,-39,134,1,-41.0,137.0,red
6,-39,135,1,-41.0,137.0,gray
7,-39,136,1,-41.0,137.0,gray
8,-39,137,1,-41.0,137.0,red
9,-39,138,1,-41.0,137.0,gray
10,-39,139,1,-41.0,137.0,red
11,-38,134,1,-41.0,137.0,green
12,-38,135,1,-41.0,137.0,green
13,-38,136,1,-41.0,137.0,gray
14,-38,137,1,-41.0,137.0,red
15,-38,138,1,-41.0,137.0,gray
16,-38,139,1,-41.0,137.0,gray
17,-36,131,1,-41.0,137.0,gray
18,-36,133,1,-41.0,137.0,gray
19,-35,131,1,-41.0,137.0,gray
20,-42,135,2,-41.0,135.0,red
21,-40,134,2,-40.0,135.0,red
22,-40,138,2,-40.0,137.0,red
23,-40,133,2,-39.0,134.0,red
24,-39,132,2,-39.0,134.0,red
25,-39,133,2,-39.0,134.0,red
26,-43,144,2,-39.0,139.0,red
27,-42,143,2,-39.0,139.0,red
28,-42,144,2,-39.0,139.0,red
29,-41,142,2,-39.0,139.0,gray
30,-41,143,2,-39.0,139.0,gray
31,-41,144,2,-39.0,139.0,green
32,-40,139,2,-39.0,139.0,gray
33,-40,140,2,-39.0,139.0,red
34,-40,141,2,-39.0,139.0,green
35,-40,142,2,-39.0,139.0,gray
36,-40,143,2,-39.0,139.0,gray
37,-39,140,2,-39.0,139.0,gray
38,-39,141,2,-39.0,139.0,green
39,-39,142,2,-39.0,139.0,gray
40,-38,133,2,-38.0,134.0,green
41,-37,134,2,-38.0,134.0,gray
42,-37,135,2,-38.0,135.0,gray
43,-37,136,2,-38.0,136.0,gray
44,-36,136,2,-38.0,136.0,gray
45,-37,137,2,-38.0,137.0,gray
46,-37,138,2,-38.0,138.0,gray
47,-38,140,2,-38.0,139.0,gray
48,-37,139,2,-38.0,139.0,gray
49,-37,130,2,-36.0,131.0,gray
50,-37,131,2,-36.0,131.0,gray
51,-36,130,2,-36.0,131.0,green
52,-37,133,2,-36.0,133.0,gray
53,-36,132,2,-36.0,133.0,gray
54,-36,134,2,-36.0,133.0,gray
55,-36,135,2,-36.0,133.0,gray
56,-35,133,2,-36.0,133.0,gray
57,-35,134,2,-36.0,133.0,gray
58,-35,127,2,-35.0,131.0,gray
59,-35,129,2,-35.0,131.0,green
60,-35,130,2,-35.0,131.0,gray
61,-35,132,2,-35.0,131.0,green
62,-34,132,2,-35.0,131.0,gray
63,-34,133,2,-35.0,131.0,gray
64,-32,130,2,-35.0,131.0,gray
65,-44,143,3,-43.0,144.0,gray
66,-44,145,3,-43.0,144.0,gray
67,-44,146,3,-43.0,144.0,gray
68,-44,147,3,-43.0,144.0,gray
69,-44,148,3,-43.0,144.0,gray
70,-43,145,3,-43.0,144.0,gray
71,-43,148,3,-43.0,144.0,gray
72,-43,149,3,-43.0,144.0,gray
73,-42,142,3,-42.0,143.0,gray
74,-42,141,3,-41.0,142.0,green
75,-41,141,3,-41.0,142.0,gray
76,-41,145,3,-41.0,144.0,green
77,-41,146,3,-41.0,144.0,gray
78,-41,147,3,-41.0,144.0,gray
79,-40,145,3,-41.0,144.0,gray
80,-40,146,3,-41.0,144.0,gray
81,-40,147,3,-41.0,144.0,gray
82,-40,148,3,-41.0,144.0,gray
83,-39,147,3,-41.0,144.0,gray
84,-39,148,3,-41.0,144.0,gray
85,-39,149,3,-41.0,144.0,gray
86,-39,150,3,-41.0,144.0,gray
87,-39,151,3,-41.0,144.0,gray
88,-38,149,3,-41.0,144.0,green
89,-38,150,3,-41.0,144.0,gray
90,-41,134,3,-40.0,134.0,red
91,-41,138,3,-40.0,138.0,green
92,-41,139,3,-40.0,139.0,red
93,-41,140,3,-40.0,140.0,green
94,-40,144,3,-40.0,143.0,gray
95,-39,144,3,-40.0,143.0,green
96,-39,145,3,-40.0,143.0,green
97,-39,143,3,-39.0,142.0,green
98,-38,132,3,-38.0,133.0,green
99,-37,128,3,-37.0,130.0,green
100,-37,129,3,-37.0,130.0,red
101,-36,138,3,-37.0,138.0,gray
102,-36,137,3,-36.0,136.0,gray
103,-35,136,3,-36.0,136.0,gray
104,-35,135,3,-35.0,134.0,gray
105,-33,131,3,-34.0,132.0,green
106,-33,132,3,-34.0,132.0,gray
107,-34,134,3,-34.0,133.0,gray
108,-33,133,3,-34.0,133.0,green
109,-43,143,4,-44.0,143.0,gray
110,-47,148,4,-44.0,148.0,red
111,-46,148,4,-44.0,148.0,gray
112,-45,148,4,-44.0,148.0,gray
113,-45,149,4,-44.0,148.0,gray
114,-45,150,4,-44.0,148.0,green
115,-45,151,4,-44.0,148.0,red
116,-44,150,4,-43.0,149.0,gray
117,-44,151,4,-43.0,149.0,gray
118,-44,153,4,-43.0,149.0,red
119,-43,142,4,-42.0,142.0,green
120,-41,148,4,-41.0,147.0,green
121,-41,149,4,-40.0,148.0,green
122,-41,150,4,-40.0,148.0,gray
123,-40,149,4,-40.0,148.0,gray
124,-39,146,4,-39.0,145.0,red
125,-40,152,4,-39.0,151.0,green
126,-40,153,4,-39.0,151.0,green
127,-40,155,4,-39.0,151.0,gray
128,-40,156,4,-39.0,151.0,red
129,-39,152,4,-39.0,151.0,gray
130,-39,154,4,-39.0,151.0,red
131,-39,155,4,-39.0,151.0,gray
132,-38,154,4,-39.0,151.0,gray
133,-33,163,4,-39.0,151.0,gray
134,-38,148,4,-38.0,149.0,red
135,-38,151,4,-38.0,150.0,gray
136,-37,150,4,-38.0,150.0,green
