,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,18,127,1,26.0,125.0,green
1,19,126,1,26.0,125.0,gray
2,19,127,1,26.0,125.0,gray
3,23,122,1,26.0,125.0,green
4,23,123,1,26.0,125.0,gray
5,25,130,1,26.0,125.0,gray
6,25,131,1,26.0,125.0,gray
7,25,133,1,26.0,125.0,gray
8,25,134,1,26.0,125.0,gray
9,26,131,1,26.0,125.0,green
10,26,132,1,26.0,125.0,gray
11,27,129,1,26.0,125.0,green
12,27,132,1,26.0,125.0,green
13,28,126,1,26.0,125.0,red
14,28,129,1,26.0,125.0,gray
15,28,131,1,26.0,125.0,gray
16,28,132,1,26.0,125.0,green
17,29,127,1,26.0,125.0,gray
18,29,128,1,26.0,125.0,green
19,29,131,1,26.0,125.0,green
20,29,132,1,26.0,125.0,gray
21,29,133,1,26.0,125.0,gray
22,29,136,1,26.0,125.0,gray
23,30,127,1,26.0,125.0,red
24,30,128,1,26.0,125.0,gray
25,30,129,1,26.0,125.0,gray
26,30,132,1,26.0,125.0,gray
27,30,136,1,26.0,125.0,gray
28,31,127,1,26.0,125.0,green
29,31,128,1,26.0,125.0,gray
30,31,129,1,26.0,125.0,green
31,31,132,1,26.0,125.0,gray
32,31,133,1,26.0,125.0,green
33,32,127,1,26.0,125.0,red
34,32,128,1,26.0,125.0,green
35,32,132,1,26.0,125.0,gray
36,32,135,1,26.0,125.0,gray
37,33,128,1,26.0,125.0,red
38,33,137,1,26.0,125.0,gray
39,18,128,2,18.0,127.0,green
40,18,129,2,18.0,127.0,gray
41,17,124,2,19.0,126.0,gray
42,18,124,2,19.0,126.0,green
43,19,122,2,19.0,126.0,green
44,19,123,2,19.0,126.0,gray
45,19,124,2,19.0,126.0,gray
46,19,125,2,19.0,126.0,gray
47,20,124,2,19.0,126.0,gray
48,20,125,2,19.0,126.0,gray
49,20,126,2,19.0,126.0,gray
50,21,125,2,19.0,126.0,gray
51,21,126,2,19.0,126.0,gray
52,21,127,2,19.0,127.0,gray
53,21,129,2,19.0,127.0,gray
54,22,127,2,19.0,127.0,gray
55,22,128,2,19.0,127.0,gray
56,20,121,2,23.0,122.0,gray
57,20,122,2,23.0,122.0,gray
58,21,121,2,23.0,122.0,green
59,21,122,2,23.0,122.0,gray
60,20,123,2,23.0,123.0,gray
61,21,123,2,23.0,123.0,green
62,21,124,2,23.0,123.0,gray
63,22,124,2,23.0,123.0,gray
64,22,125,2,23.0,123.0,gray
65,23,125,2,23.0,123.0,gray
66,23,126,2,23.0,123.0,gray
67,24,125,2,23.0,123.0,gray
68,22,129,2,25.0,130.0,green
69,22,130,2,25.0,130.0,gray
70,23,127,2,25.0,130.0,green
71,23,129,2,25.0,130.0,green
72,23,130,2,25.0,130.0,green
73,24,128,2,25.0,130.0,green
74,24,129,2,25.0,130.0,gray
75,24,130,2,25.0,130.0,gray
76,25,128,2,25.0,130.0,green
77,25,129,2,25.0,130.0,green
78,21,131,2,25.0,131.0,green
79,22,131,2,25.0,131.0,gray
80,24,131,2,25.0,131.0,green
