,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,1,70,1,8.0,72.0,gray
1,1,73,1,8.0,72.0,gray
2,1,75,1,8.0,72.0,gray
3,1,76,1,8.0,72.0,red
4,1,77,1,8.0,72.0,gray
5,2,66,1,8.0,72.0,gray
6,3,62,1,8.0,72.0,gray
7,3,63,1,8.0,72.0,green
8,3,65,1,8.0,72.0,red
9,3,66,1,8.0,72.0,gray
10,3,67,1,8.0,72.0,gray
11,3,70,1,8.0,72.0,gray
12,3,72,1,8.0,72.0,green
13,3,73,1,8.0,72.0,gray
14,4,62,1,8.0,72.0,gray
15,4,63,1,8.0,72.0,gray
16,4,66,1,8.0,72.0,gray
17,4,67,1,8.0,72.0,green
18,4,68,1,8.0,72.0,gray
19,4,74,1,8.0,72.0,gray
20,4,75,1,8.0,72.0,gray
21,4,76,1,8.0,72.0,gray
22,4,77,1,8.0,72.0,gray
23,5,63,1,8.0,72.0,gray
24,5,66,1,8.0,72.0,gray
25,5,67,1,8.0,72.0,gray
26,5,68,1,8.0,72.0,gray
27,5,70,1,8.0,72.0,green
28,5,71,1,8.0,72.0,gray
29,5,72,1,8.0,72.0,gray
30,5,75,1,8.0,72.0,gray
31,5,76,1,8.0,72.0,red
32,5,77,1,8.0,72.0,gray
33,6,70,1,8.0,72.0,gray
34,6,71,1,8.0,72.0,gray
35,6,72,1,8.0,72.0,gray
36,6,73,1,8.0,72.0,gray
37,6,74,1,8.0,72.0,red
38,6,75,1,8.0,72.0,gray
39,6,76,1,8.0,72.0,red
40,6,77,1,8.0,72.0,red
41,6,78,1,8.0,72.0,green
42,7,68,1,8.0,72.0,gray
43,7,69,1,8.0,72.0,gray
44,7,70,1,8.0,72.0,gray
45,7,71,1,8.0,72.0,gray
46,7,72,1,8.0,72.0,gray
47,7,73,1,8.0,72.0,gray
48,7,74,1,8.0,72.0,gray
49,7,75,1,8.0,72.0,red
50,7,76,1,8.0,72.0,gray
51,7,77,1,8.0,72.0,gray
52,7,79,1,8.0,72.0,gray
