,child_lat,child_lng,depth,parent_lat,parent_lng
0,-5,117,1,2.0,125.0
1,-4,117,1,2.0,125.0
2,-3,117,1,2.0,125.0
3,-2,117,1,2.0,125.0
4,-1,117,1,2.0,125.0
5,-1,118,1,2.0,125.0
6,-1,127,1,2.0,125.0
7,2,120,1,2.0,125.0
8,2,122,1,2.0,125.0
9,4,120,1,2.0,125.0
10,4,121,1,2.0,125.0
11,4,124,1,2.0,125.0
12,4,136,1,2.0,125.0
13,4,137,1,2.0,125.0
14,7,123,1,2.0,125.0
15,7,127,1,2.0,125.0
16,7,128,1,2.0,125.0
17,8,133,1,2.0,125.0
18,8,136,1,2.0,125.0
19,8,137,1,2.0,125.0
20,9,134,1,2.0,125.0
21,9,135,1,2.0,125.0
22,9,136,1,2.0,125.0
23,10,132,1,2.0,125.0
24,11,131,1,2.0,125.0
25,11,132,1,2.0,125.0
26,11,133,1,2.0,125.0
27,12,133,1,2.0,125.0
28,-9,116,2,-5.0,117.0
29,-9,117,2,-5.0,117.0
30,-9,119,2,-5.0,117.0
31,-9,120,2,-5.0,117.0
32,-9,121,2,-5.0,117.0
33,-9,122,2,-5.0,117.0
34,-8,115,2,-5.0,117.0
35,-8,116,2,-5.0,117.0
36,-8,117,2,-5.0,117.0
37,-8,118,2,-5.0,117.0
38,-7,114,2,-5.0,117.0
39,-7,115,2,-5.0,117.0
40,-7,116,2,-5.0,117.0
41,-7,118,2,-5.0,117.0
42,-7,119,2,-5.0,117.0
43,-6,114,2,-5.0,117.0
44,-6,115,2,-5.0,117.0
45,-6,116,2,-5.0,117.0
46,-6,117,2,-5.0,117.0
47,-5,116,2,-5.0,117.0
48,-5,118,2,-5.0,117.0
49,-4,116,2,-4.0,117.0
50,-4,118,2,-4.0,117.0
51,-3,118,2,-3.0,117.0
52,-2,116,2,-2.0,117.0
53,1,119,2,2.0,120.0
54,2,119,2,2.0,120.0
55,3,118,2,4.0,120.0
56,4,125,2,4.0,124.0
57,4,126,2,4.0,124.0
58,5,125,2,4.0,124.0
59,3,134,2,4.0,136.0
60,4,133,2,4.0,136.0
61,4,134,2,4.0,136.0
62,1,140,2,4.0,137.0
63,1,149,2,4.0,137.0
64,2,148,2,4.0,137.0
65,3,146,2,4.0,137.0
66,3,147,2,4.0,137.0
67,3,148,2,4.0,137.0
68,4,147,2,4.0,137.0
69,5,137,2,4.0,137.0
70,5,138,2,4.0,137.0
71,5,140,2,4.0,137.0
72,6,137,2,4.0,137.0
73,6,122,2,7.0,123.0
74,12,125,2,7.0,123.0
75,14,124,2,7.0,123.0
76,16,123,2,7.0,123.0
77,5,126,2,7.0,127.0
78,6,126,2,7.0,127.0
79,6,127,2,7.0,127.0
80,7,126,2,7.0,127.0
81,8,126,2,7.0,127.0
82,8,127,2,7.0,127.0
83,9,127,2,7.0,127.0
84,10,127,2,7.0,127.0
85,6,128,2,7.0,128.0
86,9,128,2,7.0,128.0
87,10,128,2,7.0,128.0
88,8,134,2,8.0,133.0
89,6,135,2,8.0,136.0
90,7,136,2,8.0,136.0
91,8,135,2,8.0,136.0
92,6,138,2,8.0,137.0
93,6,139,2,8.0,137.0
94,6,140,2,8.0,137.0
95,6,141,2,8.0,137.0
96,6,142,2,8.0,137.0
97,6,143,2,8.0,137.0
98,7,137,2,8.0,137.0
99,7,139,2,8.0,137.0
100,7,140,2,8.0,137.0
101,7,141,2,8.0,137.0
102,7,142,2,8.0,137.0
103,7,149,2,8.0,137.0
104,7,150,2,8.0,137.0
105,8,138,2,8.0,137.0
106,8,139,2,8.0,137.0
107,8,140,2,8.0,137.0
108,8,141,2,8.0,137.0
109,8,142,2,8.0,137.0
110,8,143,2,8.0,137.0
111,8,145,2,8.0,137.0
112,8,146,2,8.0,137.0
113,9,142,2,8.0,137.0
114,9,143,2,8.0,137.0
115,9,144,2,8.0,137.0
116,9,149,2,8.0,137.0
117,10,141,2,8.0,137.0
118,10,144,2,8.0,137.0
119,10,147,2,8.0,137.0
120,10,148,2,8.0,137.0
121,11,140,2,8.0,137.0
122,11,143,2,8.0,137.0
123,11,144,2,8.0,137.0
