,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,33,19,1,36.0,17.0,green
1,33,20,1,36.0,17.0,gray
2,33,21,1,36.0,17.0,gray
3,34,17,1,36.0,17.0,gray
4,34,18,1,36.0,17.0,gray
5,34,19,1,36.0,17.0,gray
6,34,20,1,36.0,17.0,red
7,35,16,1,36.0,17.0,gray
8,35,17,1,36.0,17.0,gray
9,35,18,1,36.0,17.0,gray
10,36,18,1,36.0,17.0,gray
11,36,19,1,36.0,17.0,gray
12,37,17,1,36.0,17.0,gray
13,37,18,1,36.0,17.0,gray
14,37,19,1,36.0,17.0,gray
15,38,17,1,36.0,17.0,green
16,30,19,2,33.0,19.0,gray
17,31,17,2,33.0,19.0,gray
18,31,18,2,33.0,19.0,gray
19,31,19,2,33.0,19.0,gray
20,32,17,2,33.0,19.0,gray
21,32,18,2,33.0,19.0,gray
22,32,19,2,33.0,19.0,gray
23,33,18,2,33.0,19.0,gray
24,32,22,2,33.0,21.0,gray
25,32,23,2,33.0,21.0,green
26,33,22,2,33.0,21.0,green
27,33,23,2,33.0,21.0,green
28,33,24,2,33.0,21.0,green
29,33,25,2,33.0,21.0,green
30,33,26,2,33.0,21.0,red
31,34,22,2,33.0,21.0,green
32,31,16,2,34.0,17.0,gray
33,32,16,2,34.0,17.0,gray
34,33,16,2,34.0,17.0,green
35,33,17,2,34.0,17.0,gray
36,34,21,2,34.0,20.0,green
37,35,20,2,34.0,20.0,gray
38,35,21,2,34.0,20.0,green
39,35,22,2,34.0,20.0,green
40,35,19,2,35.0,18.0,gray
41,36,21,2,36.0,19.0,green
42,37,15,2,37.0,17.0,gray
43,37,16,2,37.0,17.0,gray
44,37,20,2,37.0,19.0,green
45,38,19,2,37.0,19.0,gray
46,38,16,2,38.0,17.0,gray
47,38,18,2,38.0,17.0,gray
48,39,17,2,38.0,17.0,green
49,30,18,3,30.0,19.0,gray
50,32,14,3,32.0,16.0,gray
51,32,15,3,32.0,16.0,gray
52,32,20,3,32.0,19.0,gray
53,32,21,3,32.0,22.0,gray
54,32,24,3,32.0,23.0,red
55,33,12,3,33.0,16.0,green
56,33,13,3,33.0,16.0,green
57,33,14,3,33.0,16.0,gray
58,33,15,3,33.0,16.0,gray
59,34,13,3,33.0,16.0,green
60,35,25,3,33.0,25.0,green
61,32,26,3,33.0,26.0,red
62,32,27,3,33.0,26.0,red
63,32,28,3,33.0,26.0,red
64,34,23,3,34.0,22.0,green
65,35,23,3,35.0,22.0,gray
66,35,24,3,35.0,22.0,gray
67,36,23,3,35.0,22.0,green
68,36,24,3,35.0,22.0,green
69,36,25,3,35.0,22.0,green
70,36,20,3,36.0,21.0,gray
71,36,22,3,36.0,21.0,gray
72,37,23,3,36.0,21.0,green
73,36,16,3,37.0,16.0,gray
74,37,21,3,37.0,20.0,gray
75,38,20,3,38.0,19.0,green
76,39,19,3,38.0,19.0,gray
77,39,18,3,39.0,17.0,gray
78,40,16,3,39.0,17.0,gray
79,40,17,3,39.0,17.0,gray
80,40,18,3,39.0,17.0,green
81,40,19,3,39.0,17.0,gray
82,32,13,4,32.0,14.0,gray
83,31,15,4,32.0,15.0,gray
84,31,25,4,32.0,24.0,green
85,32,25,4,32.0,24.0,red
86,31,26,4,32.0,26.0,red
87,31,27,4,32.0,27.0,red
88,30,28,4,32.0,28.0,gray
89,31,28,4,32.0,28.0,red
90,31,29,4,32.0,28.0,red
91,32,29,4,32.0,28.0,red
92,33,29,4,32.0,28.0,red
93,33,11,4,33.0,12.0,gray
94,34,15,4,33.0,15.0,gray
95,34,16,4,33.0,15.0,gray
96,34,12,4,34.0,13.0,green
97,34,14,4,34.0,13.0,gray
98,35,12,4,34.0,13.0,gray
99,35,13,4,34.0,13.0,red
100,35,14,4,34.0,13.0,red
101,36,11,4,34.0,13.0,gray
102,34,24,4,34.0,23.0,gray
103,35,26,4,35.0,25.0,green
104,35,15,4,36.0,16.0,gray
105,38,21,4,38.0,20.0,red
106,39,20,4,39.0,19.0,gray
107,39,16,4,40.0,16.0,gray
108,42,16,4,40.0,16.0,green
109,41,17,4,40.0,17.0,red
110,42,17,4,40.0,17.0,green
111,41,18,4,40.0,18.0,green
112,42,18,4,40.0,18.0,gray
113,41,19,4,40.0,19.0,green
114,30,17,5,31.0,15.0,gray
115,32,12,5,32.0,13.0,gray
116,33,27,5,33.0,29.0,red
117,33,28,5,33.0,29.0,red
118,33,30,5,33.0,29.0,red
119,33,32,5,33.0,29.0,red
120,34,28,5,33.0,29.0,green
121,34,29,5,33.0,29.0,green
122,34,30,5,33.0,29.0,red
123,34,34,5,33.0,29.0,red
124,34,11,5,34.0,12.0,gray
125,35,11,5,35.0,12.0,gray
126,36,13,5,35.0,13.0,gray
127,34,27,5,35.0,26.0,red
128,35,28,5,35.0,26.0,red
129,36,26,5,35.0,26.0,gray
130,41,16,5,41.0,17.0,gray
131,42,15,5,42.0,16.0,green
132,43,14,5,42.0,16.0,green
133,43,15,5,42.0,16.0,gray
134,44,13,5,42.0,16.0,green
135,31,24,6,33.0,27.0,gray
136,32,30,6,33.0,30.0,green
137,32,31,6,33.0,30.0,red
138,33,31,6,33.0,30.0,green
139,31,32,6,33.0,32.0,green
140,31,33,6,33.0,32.0,green
141,31,34,6,33.0,32.0,gray
142,32,32,6,33.0,32.0,red
143,32,34,6,33.0,32.0,green
144,33,33,6,33.0,32.0,red
145,34,32,6,33.0,32.0,red
146,34,25,6,34.0,27.0,gray
147,34,26,6,34.0,27.0,green
148,34,31,6,34.0,30.0,red
149,36,31,6,34.0,30.0,green
150,36,15,6,36.0,13.0,gray
151,37,24,6,36.0,26.0,red
152,41,15,6,41.0,16.0,gray
153,42,14,6,42.0,15.0,green
154,43,13,6,43.0,14.0,gray
155,44,12,6,44.0,13.0,gray
156,31,31,7,31.0,32.0,gray
157,31,30,7,32.0,30.0,green
158,32,33,7,32.0,32.0,red
159,33,35,7,32.0,34.0,green
160,33,34,7,33.0,33.0,red
161,34,35,7,33.0,33.0,red
162,35,35,7,33.0,33.0,green
163,35,31,7,34.0,31.0,green
164,34,33,7,34.0,32.0,red
165,35,32,7,34.0,32.0,green
166,35,33,7,34.0,32.0,green
167,35,34,7,34.0,32.0,red
168,36,35,7,34.0,32.0,gray
169,35,29,7,36.0,31.0,red
170,35,30,7,36.0,31.0,red
171,36,34,7,36.0,31.0,green
172,37,25,7,37.0,24.0,green
173,37,26,7,37.0,24.0,gray
174,35,27,8,35.0,29.0,gray
175,36,30,8,35.0,30.0,red
176,34,10,8,37.0,25.0,gray
177,36,12,8,37.0,25.0,gray
178,38,25,8,37.0,25.0,green
179,43,16,8,37.0,25.0,gray
180,36,10,9,36.0,12.0,gray
181,37,8,9,36.0,12.0,gray
182,37,9,9,36.0,12.0,gray
183,37,10,9,36.0,12.0,gray
184,37,11,9,36.0,12.0,gray
