,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,31,346,1,35.0,348.0,gray
1,31,347,1,35.0,348.0,gray
2,31,348,1,35.0,348.0,gray
3,34,347,1,35.0,348.0,gray
4,34,348,1,35.0,348.0,gray
5,34,349,1,35.0,348.0,green
6,34,353,1,35.0,348.0,red
7,35,347,1,35.0,348.0,green
8,35,349,1,35.0,348.0,green
9,35,350,1,35.0,348.0,gray
10,35,353,1,35.0,348.0,red
11,36,347,1,35.0,348.0,green
12,36,348,1,35.0,348.0,red
13,36,349,1,35.0,348.0,gray
14,37,348,1,35.0,348.0,gray
15,37,349,1,35.0,348.0,gray
16,37,350,1,35.0,348.0,gray
17,26,340,2,31.0,346.0,gray
18,26,341,2,31.0,346.0,gray
19,26,342,2,31.0,346.0,gray
20,26,343,2,31.0,346.0,red
21,26,344,2,31.0,346.0,gray
22,27,341,2,31.0,346.0,gray
23,28,346,2,31.0,346.0,gray
24,29,344,2,31.0,346.0,gray
25,29,346,2,31.0,346.0,gray
26,30,342,2,31.0,346.0,gray
27,30,343,2,31.0,346.0,green
28,30,344,2,31.0,346.0,gray
29,30,345,2,31.0,346.0,gray
30,31,341,2,31.0,346.0,green
31,31,342,2,31.0,346.0,green
32,31,344,2,31.0,346.0,gray
33,32,344,2,31.0,346.0,gray
34,32,346,2,31.0,346.0,gray
35,33,344,2,31.0,346.0,gray
36,32,347,2,31.0,347.0,green
37,29,348,2,31.0,348.0,red
38,29,349,2,31.0,348.0,gray
39,30,348,2,31.0,348.0,green
40,30,349,2,31.0,348.0,gray
41,31,349,2,31.0,348.0,green
42,32,349,2,31.0,348.0,red
43,32,350,2,31.0,348.0,red
44,33,345,2,34.0,347.0,gray
45,33,346,2,34.0,347.0,gray
46,33,347,2,34.0,347.0,gray
47,34,344,2,34.0,347.0,green
48,34,345,2,34.0,347.0,gray
49,34,346,2,34.0,347.0,gray
50,33,348,2,34.0,348.0,gray
51,33,349,2,34.0,349.0,green
52,33,350,2,34.0,349.0,gray
53,33,351,2,34.0,349.0,green
54,34,350,2,34.0,349.0,gray
55,33,352,2,34.0,353.0,green
56,34,352,2,34.0,353.0,red
57,35,344,2,35.0,347.0,gray
58,35,346,2,35.0,347.0,gray
59,34,351,2,35.0,350.0,green
60,35,351,2,35.0,350.0,gray
61,37,359,2,35.0,353.0,green
62,36,346,2,36.0,347.0,gray
63,37,346,2,36.0,347.0,gray
64,36,350,2,36.0,349.0,red
65,37,347,2,37.0,348.0,gray
66,38,346,2,37.0,348.0,red
67,38,347,2,37.0,348.0,gray
68,38,348,2,37.0,348.0,gray
69,18,335,3,26.0,340.0,gray
70,19,334,3,26.0,340.0,green
71,19,335,3,26.0,340.0,red
72,20,335,3,26.0,340.0,gray
73,20,336,3,26.0,340.0,gray
74,21,334,3,26.0,340.0,gray
75,21,335,3,26.0,340.0,gray
