,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,33,290,1,37.0,290.0,green
1,33,293,1,37.0,290.0,gray
2,33,294,1,37.0,290.0,gray
3,34,290,1,37.0,290.0,red
4,34,293,1,37.0,290.0,gray
5,34,305,1,37.0,290.0,green
6,35,290,1,37.0,290.0,gray
7,35,292,1,37.0,290.0,gray
8,35,295,1,37.0,290.0,green
9,35,296,1,37.0,290.0,gray
10,35,298,1,37.0,290.0,green
11,35,302,1,37.0,290.0,red
12,35,305,1,37.0,290.0,gray
13,35,306,1,37.0,290.0,gray
14,36,290,1,37.0,290.0,gray
15,36,294,1,37.0,290.0,gray
16,36,295,1,37.0,290.0,green
17,36,298,1,37.0,290.0,green
18,36,306,1,37.0,290.0,green
19,37,291,1,37.0,290.0,green
20,37,292,1,37.0,290.0,red
21,37,294,1,37.0,290.0,gray
22,37,295,1,37.0,290.0,gray
23,37,296,1,37.0,290.0,gray
24,37,300,1,37.0,290.0,gray
25,37,301,1,37.0,290.0,green
26,38,291,1,37.0,290.0,red
27,38,292,1,37.0,290.0,green
28,38,294,1,37.0,290.0,gray
29,38,295,1,37.0,290.0,green
30,38,297,1,37.0,290.0,green
31,38,298,1,37.0,290.0,gray
32,39,289,1,37.0,290.0,gray
33,39,290,1,37.0,290.0,gray
34,39,291,1,37.0,290.0,green
35,39,292,1,37.0,290.0,gray
36,39,295,1,37.0,290.0,gray
37,39,296,1,37.0,290.0,green
38,39,297,1,37.0,290.0,green
39,39,299,1,37.0,290.0,gray
40,39,300,1,37.0,290.0,gray
41,40,291,1,37.0,290.0,gray
42,40,292,1,37.0,290.0,gray
43,40,294,1,37.0,290.0,green
44,40,295,1,37.0,290.0,red
45,40,296,1,37.0,290.0,red
46,40,297,1,37.0,290.0,gray
47,40,300,1,37.0,290.0,green
48,41,300,1,37.0,290.0,red
49,41,301,1,37.0,290.0,gray
50,41,303,1,37.0,290.0,red
51,42,299,1,37.0,290.0,green
52,42,304,1,37.0,290.0,green
53,29,285,2,33.0,290.0,green
54,31,287,2,33.0,290.0,green
55,31,289,2,33.0,290.0,red
56,31,290,2,33.0,290.0,green
57,32,286,2,33.0,290.0,green
58,32,287,2,33.0,290.0,green
59,32,289,2,33.0,290.0,green
60,32,290,2,33.0,290.0,red
61,32,291,2,33.0,290.0,green
62,33,283,2,33.0,290.0,green
63,33,286,2,33.0,290.0,green
64,33,287,2,33.0,290.0,gray
65,33,288,2,33.0,290.0,green
66,33,289,2,33.0,290.0,green
67,33,291,2,33.0,290.0,green
68,31,292,2,33.0,293.0,green
