,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,19,249,1,21.0,249.0,green
1,19,250,1,21.0,249.0,red
2,19,251,1,21.0,249.0,red
3,20,249,1,21.0,249.0,green
4,20,250,1,21.0,249.0,green
5,20,251,1,21.0,249.0,red
6,21,246,1,21.0,249.0,green
7,21,247,1,21.0,249.0,green
8,21,248,1,21.0,249.0,green
9,21,250,1,21.0,249.0,gray
10,22,246,1,21.0,249.0,red
11,22,247,1,21.0,249.0,gray
12,22,248,1,21.0,249.0,green
13,22,249,1,21.0,249.0,gray
14,22,250,1,21.0,249.0,gray
15,16,249,2,19.0,249.0,gray
16,17,248,2,19.0,249.0,red
17,17,249,2,19.0,249.0,gray
18,18,248,2,19.0,249.0,red
19,18,249,2,19.0,249.0,red
20,19,247,2,19.0,249.0,red
21,19,248,2,19.0,249.0,red
22,10,250,2,19.0,250.0,gray
23,11,250,2,19.0,250.0,gray
24,12,250,2,19.0,250.0,red
25,13,250,2,19.0,250.0,gray
26,14,250,2,19.0,250.0,gray
27,15,250,2,19.0,250.0,green
28,16,250,2,19.0,250.0,red
29,17,250,2,19.0,250.0,gray
30,18,250,2,19.0,250.0,red
31,10,251,2,19.0,251.0,green
32,16,251,2,19.0,251.0,green
33,16,252,2,19.0,251.0,green
34,16,253,2,19.0,251.0,gray
35,17,251,2,19.0,251.0,red
36,17,252,2,19.0,251.0,gray
37,18,251,2,19.0,251.0,green
38,18,252,2,19.0,251.0,red
39,19,252,2,19.0,251.0,green
40,20,248,2,20.0,249.0,red
41,20,252,2,20.0,251.0,green
42,20,253,2,20.0,251.0,gray
43,21,252,2,20.0,251.0,green
44,18,244,2,21.0,246.0,gray
45,18,245,2,21.0,246.0,green
46,18,246,2,21.0,246.0,green
47,19,245,2,21.0,246.0,green
48,19,246,2,21.0,246.0,red
49,20,242,2,21.0,246.0,red
50,20,243,2,21.0,246.0,gray
51,20,244,2,21.0,246.0,green
52,20,245,2,21.0,246.0,red
53,20,246,2,21.0,246.0,red
54,21,244,2,21.0,246.0,gray
55,21,245,2,21.0,246.0,green
56,20,247,2,21.0,247.0,gray
57,21,251,2,21.0,250.0,red
58,22,243,2,22.0,246.0,gray
59,22,245,2,22.0,246.0,red
60,23,243,2,22.0,246.0,red
61,23,245,2,22.0,246.0,green
62,23,246,2,22.0,246.0,green
63,24,242,2,22.0,246.0,red
64,23,247,2,22.0,247.0,green
65,23,248,2,22.0,248.0,red
66,22,251,2,22.0,250.0,green
67,22,252,2,22.0,250.0,gray
68,7,250,3,10.0,250.0,red
69,8,245,3,10.0,250.0,red
70,8,246,3,10.0,250.0,gray
71,8,249,3,10.0,250.0,green
72,9,245,3,10.0,250.0,red
73,9,246,3,10.0,250.0,gray
74,9,247,3,10.0,250.0,gray
75,9,249,3,10.0,250.0,gray
76,9,250,3,10.0,250.0,gray
77,10,243,3,10.0,250.0,green
78,10,246,3,10.0,250.0,gray
79,10,247,3,10.0,250.0,gray
80,10,248,3,10.0,250.0,gray
81,7,251,3,10.0,251.0,red
82,7,255,3,10.0,251.0,green
83,7,256,3,10.0,251.0,gray
84,7,258,3,10.0,251.0,gray
85,7,259,3,10.0,251.0,red
86,7,260,3,10.0,251.0,gray
87,8,251,3,10.0,251.0,red
88,8,252,3,10.0,251.0,green
89,8,253,3,10.0,251.0,red
90,8,254,3,10.0,251.0,gray
91,8,255,3,10.0,251.0,gray
92,8,256,3,10.0,251.0,green
93,8,257,3,10.0,251.0,green
94,8,258,3,10.0,251.0,gray
95,9,251,3,10.0,251.0,red
96,9,252,3,10.0,251.0,gray
97,9,253,3,10.0,251.0,red
98,9,257,3,10.0,251.0,green
99,11,252,3,10.0,251.0,green
100,11,253,3,10.0,251.0,gray
101,12,253,3,10.0,251.0,gray
102,12,254,3,10.0,251.0,gray
103,12,255,3,10.0,251.0,green
104,11,245,3,11.0,250.0,green
105,11,246,3,11.0,250.0,gray
106,11,247,3,11.0,250.0,green
107,11,248,3,11.0,250.0,green
108,11,249,3,11.0,250.0,gray
109,12,244,3,12.0,250.0,gray
110,12,245,3,12.0,250.0,green
111,12,246,3,12.0,250.0,gray
112,12,247,3,12.0,250.0,green
113,12,248,3,12.0,250.0,gray
114,12,249,3,12.0,250.0,gray
115,12,251,3,12.0,250.0,gray
116,12,252,3,12.0,250.0,red
117,13,245,3,13.0,250.0,gray
118,13,246,3,13.0,250.0,gray
119,13,247,3,13.0,250.0,gray
120,13,249,3,13.0,250.0,green
121,14,248,3,14.0,250.0,gray
122,14,249,3,14.0,250.0,red
123,14,251,3,14.0,250.0,green
124,14,252,3,14.0,250.0,gray
125,15,249,3,15.0,250.0,gray
126,15,251,3,15.0,250.0,green
127,14,246,3,16.0,249.0,green
128,14,247,3,16.0,249.0,green
129,15,247,3,16.0,249.0,green
130,15,248,3,16.0,249.0,gray
131,16,248,3,16.0,249.0,gray
132,12,259,3,16.0,253.0,gray
133,13,254,3,16.0,253.0,red
