,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,-43,28,1,-38.0,22.0,red
1,-42,20,1,-38.0,22.0,red
2,-42,21,1,-38.0,22.0,green
3,-42,24,1,-38.0,22.0,red
4,-42,27,1,-38.0,22.0,red
5,-42,38,1,-38.0,22.0,gray
6,-41,18,1,-38.0,22.0,red
7,-41,21,1,-38.0,22.0,red
8,-41,22,1,-38.0,22.0,red
9,-41,25,1,-38.0,22.0,gray
10,-41,26,1,-38.0,22.0,red
11,-41,27,1,-38.0,22.0,red
12,-41,28,1,-38.0,22.0,red
13,-40,16,1,-38.0,22.0,red
14,-40,17,1,-38.0,22.0,red
15,-40,18,1,-38.0,22.0,red
16,-40,19,1,-38.0,22.0,red
17,-40,20,1,-38.0,22.0,green
18,-40,23,1,-38.0,22.0,green
19,-40,24,1,-38.0,22.0,red
20,-40,25,1,-38.0,22.0,green
21,-40,28,1,-38.0,22.0,red
22,-40,29,1,-38.0,22.0,red
23,-39,16,1,-38.0,22.0,red
24,-39,17,1,-38.0,22.0,gray
25,-39,18,1,-38.0,22.0,gray
26,-39,19,1,-38.0,22.0,red
27,-39,20,1,-38.0,22.0,red
28,-39,21,1,-38.0,22.0,green
29,-39,22,1,-38.0,22.0,gray
30,-39,25,1,-38.0,22.0,gray
31,-39,26,1,-38.0,22.0,green
32,-39,29,1,-38.0,22.0,red
33,-39,32,1,-38.0,22.0,gray
34,-39,35,1,-38.0,22.0,gray
35,-39,39,1,-38.0,22.0,gray
36,-38,16,1,-38.0,22.0,gray
37,-38,17,1,-38.0,22.0,red
38,-38,18,1,-38.0,22.0,green
39,-38,19,1,-38.0,22.0,red
40,-38,20,1,-38.0,22.0,red
41,-38,21,1,-38.0,22.0,red
42,-38,23,1,-38.0,22.0,gray
43,-38,24,1,-38.0,22.0,gray
44,-38,32,1,-38.0,22.0,gray
45,-38,36,1,-38.0,22.0,green
46,-38,37,1,-38.0,22.0,gray
47,-38,38,1,-38.0,22.0,gray
48,-37,17,1,-38.0,22.0,gray
49,-37,18,1,-38.0,22.0,green
50,-37,24,1,-38.0,22.0,red
51,-37,31,1,-38.0,22.0,green
52,-37,33,1,-38.0,22.0,gray
53,-37,34,1,-38.0,22.0,gray
54,-36,14,1,-38.0,22.0,green
55,-36,23,1,-38.0,22.0,green
56,-36,24,1,-38.0,22.0,gray
57,-36,33,1,-38.0,22.0,green
58,-36,34,1,-38.0,22.0,gray
59,-36,35,1,-38.0,22.0,gray
60,-35,15,1,-38.0,22.0,red
61,-33,16,1,-38.0,22.0,red
62,-30,11,1,-38.0,22.0,green
63,-45,25,2,-43.0,28.0,red
64,-44,31,2,-43.0,28.0,green
65,-43,30,2,-43.0,28.0,red
66,-43,31,2,-43.0,28.0,gray
67,-43,32,2,-43.0,28.0,red
68,-43,33,2,-43.0,28.0,red
69,-42,29,2,-43.0,28.0,gray
70,-42,30,2,-43.0,28.0,green
71,-42,31,2,-43.0,28.0,green
72,-43,20,2,-42.0,20.0,gray
73,-43,21,2,-42.0,21.0,red
74,-43,22,2,-42.0,21.0,red
75,-42,22,2,-42.0,21.0,red
76,-45,23,2,-42.0,24.0,red
77,-45,24,2,-42.0,24.0,red
78,-42,28,2,-42.0,27.0,green
79,-45,54,2,-42.0,38.0,red
80,-44,54,2,-42.0,38.0,gray
81,-43,53,2,-42.0,38.0,red
82,-43,54,2,-42.0,38.0,gray
83,-43,55,2,-42.0,38.0,green
84,-43,56,2,-42.0,38.0,green
85,-42,34,2,-42.0,38.0,gray
86,-42,35,2,-42.0,38.0,red
87,-42,36,2,-42.0,38.0,gray
88,-42,40,2,-42.0,38.0,gray
89,-42,41,2,-42.0,38.0,green
90,-42,45,2,-42.0,38.0,gray
91,-42,47,2,-42.0,38.0,red
92,-41,36,2,-42.0,38.0,green
93,-41,37,2,-42.0,38.0,green
94,-41,38,2,-42.0,38.0,green
95,-41,40,2,-42.0,38.0,green
96,-41,41,2,-42.0,38.0,gray
97,-41,29,2,-41.0,28.0,green
98,-40,15,2,-40.0,16.0,red
99,-40,26,2,-40.0,25.0,red
100,-40,27,2,-40.0,28.0,red
101,-41,30,2,-40.0,29.0,red
102,-41,31,2,-40.0,29.0,red
103,-39,13,2,-39.0,16.0,red
104,-39,15,2,-39.0,16.0,green
105,-39,27,2,-39.0,26.0,red
106,-38,26,2,-39.0,26.0,gray
107,-38,27,2,-39.0,26.0,gray
108,-37,27,2,-39.0,26.0,green
109,-39,28,2,-39.0,29.0,red
110,-39,30,2,-39.0,29.0,red
111,-38,28,2,-39.0,29.0,gray
112,-38,29,2,-39.0,29.0,gray
113,-38,30,2,-39.0,29.0,gray
114,-37,28,2,-39.0,29.0,gray
115,-42,32,2,-39.0,32.0,red
116,-42,33,2,-39.0,32.0,gray
117,-41,32,2,-39.0,32.0,gray
118,-41,33,2,-39.0,32.0,red
119,-40,31,2,-39.0,32.0,red
120,-40,32,2,-39.0,32.0,red
121,-40,33,2,-39.0,32.0,gray
122,-39,31,2,-39.0,32.0,red
123,-39,33,2,-39.0,32.0,red
124,-41,34,2,-39.0,35.0,green
125,-41,35,2,-39.0,35.0,green
126,-40,34,2,-39.0,35.0,green
127,-40,35,2,-39.0,35.0,green
128,-40,36,2,-39.0,35.0,gray
129,-39,34,2,-39.0,35.0,gray
130,-39,36,2,-39.0,35.0,red
131,-42,49,2,-39.0,39.0,gray
132,-42,51,2,-39.0,39.0,red
133,-42,52,2,-39.0,39.0,green
134,-42,54,2,-39.0,39.0,gray
135,-41,42,2,-39.0,39.0,red
136,-41,43,2,-39.0,39.0,green
137,-41,44,2,-39.0,39.0,gray
138,-41,45,2,-39.0,39.0,gray
139,-41,46,2,-39.0,39.0,red
140,-41,47,2,-39.0,39.0,gray
141,-41,49,2,-39.0,39.0,gray
142,-41,50,2,-39.0,39.0,green
143,-41,51,2,-39.0,39.0,gray
144,-41,52,2,-39.0,39.0,gray
145,-41,53,2,-39.0,39.0,red
146,-41,55,2,-39.0,39.0,gray
147,-41,56,2,-39.0,39.0,red
148,-40,37,2,-39.0,39.0,gray
149,-40,38,2,-39.0,39.0,green
150,-40,39,2,-39.0,39.0,gray
151,-40,40,2,-39.0,39.0,gray
152,-40,41,2,-39.0,39.0,green
153,-40,42,2,-39.0,39.0,gray
154,-40,43,2,-39.0,39.0,gray
155,-40,44,2,-39.0,39.0,gray
156,-40,45,2,-39.0,39.0,red
157,-40,46,2,-39.0,39.0,gray
158,-40,47,2,-39.0,39.0,green
159,-40,48,2,-39.0,39.0,red
160,-40,49,2,-39.0,39.0,gray
161,-40,50,2,-39.0,39.0,green
162,-39,38,2,-39.0,39.0,red
163,-39,40,2,-39.0,39.0,gray
164,-39,41,2,-39.0,39.0,gray
165,-39,42,2,-39.0,39.0,green
166,-39,43,2,-39.0,39.0,gray
167,-39,44,2,-39.0,39.0,gray
168,-39,45,2,-39.0,39.0,gray
169,-39,46,2,-39.0,39.0,gray
170,-39,48,2,-39.0,39.0,red
