,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,-41,314,1,-33.0,312.0,gray
1,-40,314,1,-33.0,312.0,green
2,-40,315,1,-33.0,312.0,gray
3,-40,316,1,-33.0,312.0,green
4,-40,317,1,-33.0,312.0,gray
5,-40,318,1,-33.0,312.0,gray
6,-40,319,1,-33.0,312.0,gray
7,-40,320,1,-33.0,312.0,green
8,-38,316,1,-33.0,312.0,gray
9,-37,308,1,-33.0,312.0,gray
10,-37,312,1,-33.0,312.0,gray
11,-37,313,1,-33.0,312.0,red
12,-37,314,1,-33.0,312.0,gray
13,-36,308,1,-33.0,312.0,gray
14,-36,309,1,-33.0,312.0,gray
15,-36,311,1,-33.0,312.0,gray
16,-36,312,1,-33.0,312.0,gray
17,-36,314,1,-33.0,312.0,gray
18,-35,309,1,-33.0,312.0,gray
19,-35,310,1,-33.0,312.0,gray
20,-35,311,1,-33.0,312.0,gray
21,-35,312,1,-33.0,312.0,gray
22,-34,310,1,-33.0,312.0,gray
23,-34,311,1,-33.0,312.0,red
24,-34,312,1,-33.0,312.0,green
25,-33,310,1,-33.0,312.0,gray
26,-33,311,1,-33.0,312.0,gray
27,-33,313,1,-33.0,312.0,gray
28,-33,314,1,-33.0,312.0,gray
29,-32,311,1,-33.0,312.0,gray
30,-32,312,1,-33.0,312.0,gray
31,-32,313,1,-33.0,312.0,gray
32,-32,314,1,-33.0,312.0,gray
33,-31,313,1,-33.0,312.0,gray
34,-31,314,1,-33.0,312.0,gray
35,-44,306,2,-41.0,314.0,gray
36,-43,307,2,-41.0,314.0,red
37,-43,308,2,-41.0,314.0,red
38,-42,308,2,-41.0,314.0,gray
39,-42,316,2,-41.0,314.0,gray
40,-41,309,2,-41.0,314.0,gray
41,-41,310,2,-41.0,314.0,gray
42,-41,311,2,-41.0,314.0,gray
43,-41,312,2,-41.0,314.0,green
44,-41,313,2,-41.0,314.0,gray
45,-41,315,2,-41.0,314.0,gray
46,-40,310,2,-40.0,314.0,red
47,-40,311,2,-40.0,314.0,green
48,-40,312,2,-40.0,314.0,gray
49,-40,313,2,-40.0,314.0,gray
50,-39,312,2,-40.0,314.0,green
51,-39,313,2,-40.0,314.0,gray
52,-39,314,2,-40.0,314.0,red
53,-39,315,2,-40.0,315.0,gray
54,-41,316,2,-40.0,316.0,red
55,-42,317,2,-40.0,317.0,gray
56,-41,317,2,-40.0,317.0,gray
57,-39,317,2,-40.0,317.0,green
58,-41,318,2,-40.0,318.0,green
59,-39,318,2,-40.0,318.0,green
60,-41,319,2,-40.0,319.0,gray
61,-39,319,2,-40.0,319.0,green
62,-38,319,2,-40.0,319.0,green
63,-43,321,2,-40.0,320.0,gray
64,-43,322,2,-40.0,320.0,gray
65,-43,325,2,-40.0,320.0,gray
66,-42,321,2,-40.0,320.0,green
67,-42,322,2,-40.0,320.0,red
68,-42,324,2,-40.0,320.0,green
69,-42,333,2,-40.0,320.0,green
70,-41,320,2,-40.0,320.0,green
71,-41,321,2,-40.0,320.0,red
72,-41,322,2,-40.0,320.0,green
73,-41,323,2,-40.0,320.0,gray
74,-41,324,2,-40.0,320.0,red
75,-41,330,2,-40.0,320.0,gray
76,-41,331,2,-40.0,320.0,red
77,-41,333,2,-40.0,320.0,gray
78,-40,321,2,-40.0,320.0,red
79,-40,322,2,-40.0,320.0,gray
80,-40,323,2,-40.0,320.0,gray
81,-40,324,2,-40.0,320.0,gray
82,-40,325,2,-40.0,320.0,gray
83,-40,329,2,-40.0,320.0,gray
84,-40,331,2,-40.0,320.0,gray
85,-40,332,2,-40.0,320.0,gray
86,-40,333,2,-40.0,320.0,green
87,-39,320,2,-40.0,320.0,green
88,-39,321,2,-40.0,320.0,gray
89,-39,322,2,-40.0,320.0,gray
90,-39,323,2,-40.0,320.0,gray
91,-39,324,2,-40.0,320.0,red
92,-39,325,2,-40.0,320.0,gray
93,-39,326,2,-40.0,320.0,green
94,-39,328,2,-40.0,320.0,green
95,-39,331,2,-40.0,320.0,gray
96,-39,332,2,-40.0,320.0,red
97,-38,320,2,-40.0,320.0,gray
98,-38,321,2,-40.0,320.0,gray
99,-38,322,2,-40.0,320.0,gray
100,-38,323,2,-40.0,320.0,gray
101,-38,327,2,-40.0,320.0,gray
102,-37,320,2,-40.0,320.0,green
103,-37,321,2,-40.0,320.0,gray
104,-37,322,2,-40.0,320.0,gray
105,-37,323,2,-40.0,320.0,gray
106,-37,324,2,-40.0,320.0,green
107,-37,326,2,-40.0,320.0,gray
108,-37,327,2,-40.0,320.0,red
109,-37,328,2,-40.0,320.0,gray
110,-37,329,2,-40.0,320.0,gray
111,-36,321,2,-40.0,320.0,gray
112,-36,322,2,-40.0,320.0,green
113,-36,323,2,-40.0,320.0,green
114,-35,322,2,-40.0,320.0,gray
115,-39,316,2,-38.0,316.0,green
116,-38,315,2,-38.0,316.0,green
117,-38,317,2,-38.0,316.0,gray
118,-38,318,2,-38.0,316.0,gray
119,-37,316,2,-38.0,316.0,gray
120,-37,317,2,-38.0,316.0,gray
121,-37,318,2,-38.0,316.0,gray
122,-37,319,2,-38.0,316.0,gray
123,-36,318,2,-38.0,316.0,gray
124,-36,319,2,-38.0,316.0,gray
125,-36,320,2,-38.0,316.0,green
126,-35,318,2,-38.0,316.0,gray
127,-35,319,2,-38.0,316.0,gray
128,-35,320,2,-38.0,316.0,gray
129,-35,321,2,-38.0,316.0,gray
130,-34,321,2,-38.0,316.0,gray
131,-43,306,2,-37.0,308.0,gray
132,-42,306,2,-37.0,308.0,gray
133,-42,307,2,-37.0,308.0,gray
134,-41,306,2,-37.0,308.0,gray
