,child_lat,child_lng,depth,parent_lat,parent_lng,color
0,-4,345,1,1.0,357.0,red
1,-4,349,1,1.0,357.0,gray
2,-3,345,1,1.0,357.0,green
3,-3,348,1,1.0,357.0,gray
4,-3,349,1,1.0,357.0,green
5,-3,350,1,1.0,357.0,gray
6,-3,351,1,1.0,357.0,gray
7,-3,357,1,1.0,357.0,red
8,-1,352,1,1.0,357.0,gray
9,-1,357,1,1.0,357.0,gray
10,-1,0,1,1.0,357.0,gray
11,-1,1,1,1.0,357.0,green
12,0,351,1,1.0,357.0,gray
13,0,355,1,1.0,357.0,gray
14,0,356,1,1.0,357.0,gray
15,0,359,1,1.0,357.0,gray
16,0,0,1,1.0,357.0,gray
17,0,1,1,1.0,357.0,gray
18,0,2,1,1.0,357.0,gray
19,0,3,1,1.0,357.0,gray
20,0,6,1,1.0,357.0,gray
21,0,7,1,1.0,357.0,gray
22,0,8,1,1.0,357.0,gray
23,1,344,1,1.0,357.0,gray
24,1,346,1,1.0,357.0,gray
25,1,350,1,1.0,357.0,gray
26,1,353,1,1.0,357.0,gray
27,1,354,1,1.0,357.0,gray
28,1,355,1,1.0,357.0,gray
29,1,356,1,1.0,357.0,gray
30,1,358,1,1.0,357.0,gray
31,1,359,1,1.0,357.0,gray
32,1,0,1,1.0,357.0,gray
33,1,1,1,1.0,357.0,gray
34,1,2,1,1.0,357.0,gray
35,1,3,1,1.0,357.0,green
36,1,4,1,1.0,357.0,gray
37,1,5,1,1.0,357.0,gray
38,1,6,1,1.0,357.0,gray
39,1,7,1,1.0,357.0,gray
40,1,8,1,1.0,357.0,gray
41,2,355,1,1.0,357.0,gray
42,2,356,1,1.0,357.0,gray
43,2,359,1,1.0,357.0,gray
44,2,0,1,1.0,357.0,green
45,2,4,1,1.0,357.0,gray
46,2,5,1,1.0,357.0,gray
47,2,6,1,1.0,357.0,green
48,2,7,1,1.0,357.0,gray
49,-10,347,2,-4.0,345.0,gray
50,-9,347,2,-4.0,345.0,green
51,-7,342,2,-4.0,345.0,gray
52,-7,343,2,-4.0,345.0,green
53,-6,332,2,-4.0,345.0,gray
54,-6,334,2,-4.0,345.0,green
55,-6,337,2,-4.0,345.0,gray
56,-6,341,2,-4.0,345.0,red
57,-6,342,2,-4.0,345.0,red
58,-6,343,2,-4.0,345.0,red
59,-6,346,2,-4.0,345.0,gray
60,-6,347,2,-4.0,345.0,gray
61,-5,333,2,-4.0,345.0,gray
62,-5,337,2,-4.0,345.0,green
63,-5,339,2,-4.0,345.0,gray
64,-5,340,2,-4.0,345.0,green
65,-5,341,2,-4.0,345.0,red
66,-5,342,2,-4.0,345.0,gray
67,-5,345,2,-4.0,345.0,gray
68,-4,337,2,-4.0,345.0,gray
69,-4,338,2,-4.0,345.0,gray
70,-4,339,2,-4.0,345.0,green
71,-4,343,2,-4.0,345.0,gray
72,-4,344,2,-4.0,345.0,red
73,-10,349,2,-4.0,349.0,gray
74,-9,352,2,-4.0,349.0,green
75,-8,351,2,-4.0,349.0,gray
76,-8,352,2,-4.0,349.0,green
77,-3,341,2,-3.0,345.0,gray
78,-2,341,2,-3.0,345.0,green
79,-2,345,2,-3.0,345.0,gray
80,-2,346,2,-3.0,345.0,red
81,-2,347,2,-3.0,348.0,gray
82,-1,347,2,-3.0,348.0,red
83,-1,348,2,-3.0,348.0,gray
84,-1,349,2,-3.0,349.0,gray
85,-8,353,2,-3.0,351.0,green
86,-5,354,2,-3.0,351.0,gray
87,-3,352,2,-3.0,351.0,gray
88,-3,353,2,-3.0,351.0,gray
89,-5,358,2,-3.0,357.0,gray
90,-4,356,2,-3.0,357.0,gray
91,-4,357,2,-3.0,357.0,gray
92,-4,358,2,-3.0,357.0,gray
93,-4,359,2,-3.0,357.0,gray
94,-3,355,2,-3.0,357.0,green
95,-3,356,2,-3.0,357.0,red
96,-3,358,2,-3.0,357.0,green
97,-3,359,2,-3.0,357.0,gray
98,-2,358,2,-3.0,357.0,green
99,-3,354,2,-1.0,352.0,gray
100,-2,357,2,-1.0,357.0,gray
101,-4,0,2,-1.0,0.0,gray
102,-3,0,2,-1.0,0.0,gray
103,-2,359,2,-1.0,0.0,gray
104,-2,0,2,-1.0,0.0,gray
105,-4,1,2,-1.0,1.0,red
106,-4,2,2,-1.0,1.0,gray
107,-4,3,2,-1.0,1.0,gray
108,-3,1,2,-1.0,1.0,gray
109,-3,2,2,-1.0,1.0,gray
110,-3,3,2,-1.0,1.0,gray
111,1,351,2,0.0,351.0,gray
