year,month,lat,lng,probability
0,0,8,72,1.00000
0,2,1,69,0.00036
0,2,1,70,0.00060
0,2,1,73,0.00072
0,2,1,75,0.00072
0,2,1,76,0.00084
0,2,1,77,0.00084
0,2,2,66,0.00096
0,2,2,67,0.00036
0,2,2,73,0.00048
0,2,3,62,0.18589
0,2,3,63,0.09295
0,2,3,65,0.00143
0,2,3,66,0.00072
0,2,3,67,0.00108
0,2,3,70,0.00072
0,2,3,72,0.00072
0,2,3,73,0.00215
0,2,4,62,0.12393
0,2,4,63,0.15491
0,2,4,66,0.00096
0,2,4,67,0.00060
0,2,4,68,0.00131
0,2,4,74,0.00179
0,2,4,75,0.00167
0,2,4,76,0.00490
0,2,4,77,0.00096
0,2,5,63,0.00084
0,2,5,65,0.00048
0,2,5,66,0.00143
0,2,5,67,0.00084
0,2,5,68,0.00108
0,2,5,70,0.00060
0,2,5,71,0.00060
0,2,5,72,0.00239
0,2,5,74,0.00036
0,2,5,75,0.00657
0,2,5,76,0.00131
0,2,5,77,0.00609
0,2,6,70,0.00119
0,2,6,71,0.00860
0,2,6,72,0.01625
0,2,6,73,0.00442
0,2,6,74,0.00657
0,2,6,75,0.00263
0,2,6,76,0.00096
0,2,6,77,0.00299
0,2,6,78,0.00060
0,2,7,68,0.00179
0,2,7,69,0.00514
0,2,7,70,0.00239
0,2,7,71,0.00992
0,2,7,72,0.00562
0,2,7,73,0.00358
0,2,7,74,0.00299
0,2,7,75,0.00430
0,2,7,76,0.00382
0,2,7,77,0.00131
0,2,7,79,0.00108
0,2,8,68,0.00179
0,2,8,69,0.00263
0,2,8,70,0.00382
0,2,8,71,0.00992
0,2,8,72,0.01159
0,2,8,73,0.00574
0,2,8,74,0.00621
0,2,8,75,0.00466
0,2,9,68,0.00060
0,2,9,69,0.00370
0,2,9,70,0.00812
0,2,9,71,0.01529
0,2,9,72,0.01171
0,2,9,73,0.01302
0,2,9,74,0.00789
0,2,9,75,0.01517
0,2,10,66,0.00323
0,2,10,67,0.01051
0,2,10,68,0.00717
0,2,10,69,0.01028
0,2,10,70,0.00609
0,2,10,71,0.01482
0,2,10,72,0.00406
0,2,10,73,0.00346
0,2,10,74,0.00753
0,2,10,75,0.00167
0,2,11,66,0.01123
0,2,11,67,0.00179
0,2,11,68,0.00478
0,2,11,69,0.00430
0,2,11,70,0.00442
0,2,11,71,0.00633
0,2,11,72,0.00239
0,2,11,73,0.00251
0,2,11,74,0.00191
0,2,12,66,0.00179
0,2,12,67,0.00323
0,2,12,69,0.00251
0,2,12,70,0.00215
0,2,12,71,0.00538
0,2,12,72,0.00645
0,2,12,73,0.00251
0,2,12,74,0.00466
0,2,13,67,0.00430
0,2,13,68,0.00072
0,2,13,69,0.00072
0,2,13,70,0.00239
0,2,13,71,0.00358
0,2,13,72,0.00072
0,2,13,73,0.00717
0,2,13,74,0.00418
0,2,14,67,0.00060
0,2,14,69,0.00060
0,2,14,70,0.00287
0,2,14,71,0.00478
0,2,14,72,0.00084
