year,month,lat,lng,probability
0,0,2,125,1.00000
0,2,-5,117,0.00070
0,2,-4,117,0.00725
0,2,-3,117,0.00936
0,2,-2,117,0.00632
0,2,-1,117,0.00585
0,2,-1,118,0.00468
0,2,-1,127,0.00094
0,2,0,118,0.00047
0,2,0,127,0.00047
0,2,2,118,0.00047
0,2,2,120,0.00070
0,2,2,122,0.00374
0,2,4,120,0.00211
0,2,4,121,0.00070
0,2,4,124,0.00304
0,2,4,136,0.30328
0,2,4,137,0.18197
0,2,6,142,0.00070
0,2,6,150,0.00421
0,2,6,151,0.00140
0,2,6,153,0.00187
0,2,6,154,0.00070
0,2,6,158,0.00257
0,2,6,159,0.00234
0,2,6,163,0.00117
0,2,7,123,0.00561
0,2,7,127,0.24263
0,2,7,128,0.06066
0,2,7,149,0.00281
0,2,7,150,0.00257
0,2,7,151,0.00468
0,2,7,160,0.00140
0,2,7,163,0.00094
0,2,8,131,0.00047
0,2,8,132,0.00047
0,2,8,133,0.00094
0,2,8,136,0.00164
0,2,8,137,0.00117
0,2,8,141,0.00094
0,2,8,142,0.00234
0,2,8,145,0.00912
0,2,8,149,0.00164
0,2,8,150,0.00374
0,2,8,151,0.00281
0,2,8,154,0.00257
0,2,8,156,0.00094
0,2,8,157,0.00211
0,2,8,161,0.00094
0,2,9,134,0.00211
0,2,9,135,0.00211
0,2,9,136,0.00094
0,2,9,140,0.00070
0,2,9,141,0.00281
0,2,9,142,0.00281
0,2,9,143,0.00538
0,2,9,146,0.00117
0,2,9,147,0.00281
0,2,9,149,0.00164
0,2,9,153,0.00164
0,2,9,158,0.00117
0,2,9,160,0.00257
0,2,9,161,0.00281
0,2,10,132,0.00234
0,2,10,138,0.00070
0,2,10,140,0.00047
0,2,10,142,0.00164
0,2,10,143,0.00234
0,2,10,144,0.00281
0,2,10,145,0.00117
0,2,10,150,0.00117
0,2,10,151,0.00140
0,2,10,152,0.00070
0,2,10,153,0.00468
0,2,10,154,0.00211
0,2,10,157,0.00234
0,2,10,158,0.00047
0,2,11,131,0.00094
0,2,11,132,0.00608
0,2,11,133,0.00094
0,2,11,139,0.00117
0,2,11,141,0.00070
0,2,11,142,0.00351
0,2,11,143,0.00304
0,2,11,156,0.00047
0,2,11,157,0.00164
0,2,12,133,0.00187
0,2,12,139,0.00094
0,2,12,140,0.00327
0,2,12,141,0.00749
0,2,12,142,0.00304
0,2,12,143,0.00140
0,2,12,144,0.00047
0,2,13,134,0.00187
0,2,13,141,0.00211
0,4,-11,116,0.00028
0,4,-10,116,0.00031
0,4,-10,117,0.00033
0,4,-10,118,0.00026
0,4,-10,119,0.00025
0,4,-9,115,0.00043
0,4,-9,116,0.00130
0,4,-9,117,0.00113
0,4,-9,118,0.00032
0,4,-9,119,0.00168
0,4,-9,120,0.00106
0,4,-9,121,0.00128
0,4,-9,122,0.00064
0,4,-8,115,0.00067
0,4,-8,116,0.00127
0,4,-8,117,0.00206
0,4,-8,118,0.00080
0,4,-7,114,0.00154
0,4,-7,115,0.00171
0,4,-7,116,0.00130
0,4,-7,117,0.00053
0,4,-7,118,0.00739
0,4,-7,119,0.03691
0,4,-6,114,0.00119
0,4,-6,115,0.00148
0,4,-6,116,0.00160
0,4,-6,117,0.00094
0,4,-5,115,0.00051
0,4,-5,116,0.00212
0,4,-5,117,0.00076
0,4,-5,118,0.00062
0,4,-5,155,0.01418
0,4,-4,116,0.00127
0,4,-4,117,0.00152
0,4,-4,118,0.00090
0,4,-3,117,0.00155
0,4,-3,118,0.00059
0,4,-2,116,0.00074
0,4,-2,117,0.00126
0,4,-1,117,0.00029
0,4,-1,118,0.00055
0,4,-1,119,0.00051
0,4,-1,127,0.00050
0,4,0,118,0.00044
0,4,1,119,0.00093
0,4,1,137,0.00050
0,4,1,140,0.00087
0,4,1,149,0.00065
0,4,2,118,0.00035
0,4,2,119,0.00105
0,4,2,120,0.00081
0,4,2,123,0.00035
0,4,2,124,0.00036
0,4,2,125,0.00053
0,4,2,136,0.00029
0,4,2,137,0.00044
0,4,2,138,0.00037
0,4,2,140,0.00053
0,4,2,147,0.00031
0,4,2,148,0.00090
0,4,2,149,0.00042
0,4,3,118,0.00098
0,4,3,119,0.00043
0,4,3,120,0.00037
0,4,3,122,0.00025
0,4,3,123,0.00045
0,4,3,124,0.00025
0,4,3,134,0.00324
0,4,3,143,0.00041
0,4,3,146,0.00072
0,4,3,147,0.00105
0,4,3,148,0.00080
0,4,4,120,0.00053
0,4,4,123,0.00045
0,4,4,124,0.00197
0,4,4,125,0.00118
0,4,4,126,0.00537
0,4,4,133,0.00108
0,4,4,134,0.00319
0,4,4,137,0.00034
0,4,4,138,0.00028
0,4,4,139,0.00032
0,4,4,144,0.00055
0,4,4,145,0.00039
0,4,4,147,0.00059
0,4,5,121,0.00028
0,4,5,122,0.00028
0,4,5,124,0.00032
0,4,5,125,0.00447
0,4,5,126,0.00833
0,4,5,136,0.00046
0,4,5,137,0.00441
0,4,5,138,0.01476
0,4,5,139,0.00049
0,4,5,140,0.00062
0,4,5,144,0.00031
0,4,5,150,0.00031
0,4,5,157,0.00047
0,4,5,158,0.00029
0,4,6,122,0.00098
0,4,6,123,0.00041
0,4,6,126,0.00788
0,4,6,127,0.02658
0,4,6,128,0.02438
0,4,6,129,0.00032
0,4,6,130,0.00041
0,4,6,131,0.00029
0,4,6,133,0.00039
0,4,6,134,0.00053
0,4,6,135,0.00093
0,4,6,136,0.00044
0,4,6,137,0.04435
0,4,6,138,0.01134
0,4,6,139,0.11010
0,4,6,140,0.00740
0,4,6,141,0.00534
0,4,6,142,0.00510
0,4,6,143,0.00056
