year,month,lat,lng,probability
0,0,36,17,1.00000
0,2,33,19,0.09121
0,2,33,20,0.09121
0,2,33,21,0.00106
0,2,34,17,0.00185
0,2,34,18,0.00334
0,2,34,19,0.00273
0,2,34,20,0.11402
0,2,35,16,0.00123
0,2,35,17,0.03315
0,2,35,18,0.02788
0,2,36,17,0.03087
0,2,36,18,0.58211
0,2,36,19,0.00545
0,2,37,17,0.00141
0,2,37,18,0.00800
0,2,37,19,0.00246
0,2,38,17,0.00167
0,4,30,19,0.00064
0,4,31,16,0.01017
0,4,31,17,0.01349
0,4,31,18,0.04410
0,4,31,19,0.00112
0,4,32,16,0.01085
0,4,32,17,0.11177
0,4,32,18,0.00067
0,4,32,19,0.00072
0,4,32,22,0.00106
0,4,32,23,0.00085
0,4,32,24,0.00039
0,4,32,26,0.00037
0,4,33,16,0.01738
0,4,33,17,0.01396
0,4,33,18,0.00058
0,4,33,19,0.00284
0,4,33,20,0.00467
0,4,33,21,0.00361
0,4,33,22,0.00508
0,4,33,23,0.00445
0,4,33,24,0.00081
0,4,33,25,0.00089
0,4,33,26,0.00059
0,4,34,18,0.06841
0,4,34,19,0.00568
0,4,34,20,0.00662
0,4,34,21,0.00378
0,4,34,22,0.22248
0,4,35,17,0.00141
0,4,35,18,0.00674
0,4,35,19,0.00749
0,4,35,20,0.00425
0,4,35,21,0.00129
0,4,35,22,0.13750
0,4,36,17,0.00910
0,4,36,18,0.01348
0,4,36,19,0.01004
0,4,36,20,0.00035
0,4,36,21,0.00310
0,4,36,22,0.00042
0,4,37,15,0.00109
0,4,37,16,0.00304
0,4,37,17,0.03720
0,4,37,18,0.01909
0,4,37,19,0.14026
0,4,37,20,0.00282
0,4,38,16,0.00779
0,4,38,17,0.01932
0,4,38,18,0.00438
0,4,38,19,0.00948
0,4,39,17,0.00063
0,6,30,18,0.01792
0,6,30,19,0.00645
0,6,31,15,0.00055
0,6,31,16,0.00204
0,6,31,17,0.01139
0,6,31,18,0.02454
0,6,31,19,0.00081
0,6,31,28,0.00031
0,6,32,13,0.00043
0,6,32,14,0.04054
0,6,32,15,0.01137
0,6,32,16,0.02129
0,6,32,17,0.02141
0,6,32,18,0.02569
0,6,32,19,0.00362
0,6,32,20,0.00089
0,6,32,21,0.00145
0,6,32,22,0.00382
0,6,32,23,0.00823
0,6,32,24,0.00064
0,6,32,26,0.00108
0,6,32,27,0.00134
0,6,32,28,0.00110
0,6,33,12,0.00087
0,6,33,13,0.01247
0,6,33,14,0.02558
0,6,33,15,0.02603
0,6,33,16,0.03901
0,6,33,17,0.00987
0,6,33,18,0.03640
0,6,33,19,0.01448
0,6,33,20,0.00747
0,6,33,21,0.01212
0,6,33,22,0.02355
0,6,33,23,0.02578
0,6,33,24,0.00683
0,6,33,25,0.00328
0,6,33,26,0.00182
0,6,33,27,0.00054
0,6,34,13,0.00132
0,6,34,17,0.00153
0,6,34,18,0.02329
0,6,34,19,0.00257
0,6,34,20,0.00327
0,6,34,21,0.05081
0,6,34,22,0.01805
0,6,34,23,0.00907
0,6,34,26,0.00027
0,6,35,16,0.00028
0,6,35,17,0.00060
0,6,35,18,0.01088
0,6,35,19,0.02346
0,6,35,20,0.00761
0,6,35,21,0.04377
0,6,35,22,0.02620
0,6,35,23,0.01867
0,6,35,24,0.01214
0,6,35,25,0.00069
0,6,36,16,0.00077
0,6,36,17,0.00263
0,6,36,18,0.00814
0,6,36,19,0.01858
0,6,36,20,0.00730
0,6,36,21,0.01661
0,6,36,22,0.00588
0,6,36,23,0.02946
0,6,36,24,0.01660
0,6,36,25,0.00073
0,6,37,16,0.00145
0,6,37,17,0.00901
0,6,37,18,0.00814
0,6,37,19,0.02083
0,6,37,20,0.00888
0,6,37,21,0.00067
0,6,37,23,0.00514
0,6,38,15,0.00037
0,6,38,16,0.00219
0,6,38,17,0.01009
0,6,38,18,0.02460
0,6,38,19,0.03710
0,6,38,20,0.00547
0,6,39,17,0.00439
0,6,39,18,0.01097
0,6,39,19,0.02410
0,6,40,16,0.00111
0,6,40,17,0.00210
0,6,40,18,0.00422
0,6,40,19,0.00114
0,6,41,18,0.00035
0,8,30,18,0.00780
0,8,30,19,0.00318
0,8,30,28,0.00131
0,8,31,15,0.00091
0,8,31,16,0.00613
0,8,31,17,0.00754
0,8,31,18,0.04099
0,8,31,19,0.00433
0,8,31,25,0.00200
0,8,31,26,0.00396
0,8,31,27,0.00293
0,8,31,28,0.00660
0,8,31,29,0.00429
0,8,32,13,0.00080
0,8,32,14,0.03186
0,8,32,15,0.01153
0,8,32,16,0.00982
0,8,32,17,0.01336
0,8,32,18,0.02262
0,8,32,19,0.01014
0,8,32,20,0.01550
0,8,32,21,0.00477
0,8,32,22,0.00131
0,8,32,23,0.00212
0,8,32,24,0.00255
0,8,32,25,0.00483
0,8,32,26,0.00183
0,8,32,27,0.00124
0,8,32,28,0.00254
0,8,32,29,0.00260
0,8,33,11,0.02950
0,8,33,12,0.03885
0,8,33,13,0.02530
0,8,33,14,0.00504
0,8,33,15,0.00175
0,8,33,16,0.00537
0,8,33,17,0.00726
0,8,33,18,0.01905
0,8,33,19,0.03368
0,8,33,20,0.05467
0,8,33,21,0.02860
0,8,33,22,0.00829
0,8,33,23,0.00551
0,8,33,24,0.00237
0,8,33,25,0.00179
0,8,33,26,0.00143
0,8,33,27,0.00052
0,8,33,28,0.00051
0,8,33,29,0.00165
0,8,33,30,0.00029
0,8,34,12,0.00149
0,8,34,13,0.00662
0,8,34,14,0.01597
