,depth,node_lat,node_lng
0,0,-41.0,137.0
1,1,-40.0,134.0
2,1,-42.0,137.0
3,1,-39.0,136.0
4,1,-39.0,137.0
5,1,-39.0,135.0
6,1,-38.0,136.0
7,1,-38.0,139.0
8,1,-38.0,134.0
9,1,-37.0,134.0
10,1,-37.0,137.0
11,1,-35.0,132.0
12,1,-35.0,134.0
13,2,-42.0,144.0
14,2,-43.0,135.0
15,2,-42.0,143.0
16,2,-41.0,143.0
17,2,-41.0,142.0
18,2,-40.0,144.0
19,2,-40.0,132.0
20,2,-39.0,133.0
21,2,-41.0,138.0
22,2,-40.0,138.0
23,2,-41.0,139.0
24,2,-40.0,140.0
25,2,-40.0,142.0
26,2,-38.0,133.0
27,2,-39.0,140.0
28,2,-38.0,139.0
29,2,-37.0,129.0
30,2,-36.0,132.0
31,2,-38.0,136.0
32,2,-37.0,136.0
33,2,-36.0,138.0
34,2,-35.0,130.0
35,2,-36.0,131.0
36,2,-35.0,134.0
37,2,-35.0,135.0
38,2,-34.0,128.0
39,2,-36.0,130.0
40,2,-36.0,129.0
41,2,-36.0,135.0
42,2,-35.0,133.0
43,2,-33.0,134.0
44,2,-33.0,129.0
45,3,-45.0,142.0
46,3,-45.0,146.0
47,3,-43.0,147.0
48,3,-44.0,147.0
49,3,-43.0,145.0
50,3,-43.0,149.0
51,3,-43.0,150.0
52,3,-42.0,141.0
53,3,-41.0,143.0
54,3,-42.0,134.0
55,3,-40.0,139.0
56,3,-42.0,140.0
57,3,-41.0,141.0
58,3,-42.0,142.0
59,3,-42.0,145.0
60,3,-40.0,145.0
61,3,-41.0,148.0
62,3,-39.0,144.0
63,3,-39.0,145.0
64,3,-41.0,147.0
65,3,-40.0,149.0
66,3,-38.0,144.0
67,3,-39.0,143.0
68,3,-38.0,145.0
69,3,-40.0,147.0
70,3,-40.0,148.0
71,3,-40.0,150.0
72,3,-38.0,149.0
73,3,-40.0,151.0
74,3,-37.0,132.0
75,3,-39.0,150.0
76,3,-37.0,149.0
77,3,-36.0,128.0
78,3,-36.0,129.0
79,3,-37.0,137.0
80,3,-37.0,138.0
81,3,-34.0,134.0
82,3,-34.0,136.0
83,3,-33.0,135.0
84,3,-32.0,130.0
85,3,-34.0,132.0
86,3,-32.0,132.0
87,4,-48.0,149.0
88,4,-47.0,147.0
89,4,-45.0,149.0
90,4,-46.0,148.0
91,4,-44.0,149.0
92,4,-44.0,150.0
