,depth,node_lat,node_lng
0,0,26.0,125.0
1,1,18.0,127.0
2,1,19.0,126.0
3,1,19.0,127.0
4,1,23.0,122.0
5,1,23.0,123.0
6,1,25.0,130.0
7,1,25.0,131.0
8,1,25.0,133.0
9,1,25.0,134.0
10,1,26.0,131.0
11,1,26.0,132.0
12,1,27.0,129.0
13,1,27.0,132.0
14,1,28.0,126.0
15,1,28.0,129.0
16,1,28.0,131.0
17,1,28.0,132.0
18,1,29.0,127.0
19,1,29.0,128.0
20,1,29.0,131.0
21,1,29.0,132.0
22,1,29.0,133.0
23,1,30.0,127.0
24,1,30.0,128.0
25,1,30.0,129.0
26,1,30.0,132.0
27,1,31.0,127.0
28,1,31.0,128.0
29,1,31.0,129.0
30,1,31.0,132.0
31,1,31.0,133.0
32,1,32.0,127.0
33,1,32.0,128.0
34,1,32.0,132.0
35,1,33.0,128.0
36,2,17.0,124.0
37,2,18.0,124.0
38,2,18.0,128.0
39,2,18.0,129.0
40,2,19.0,122.0
41,2,19.0,123.0
42,2,19.0,124.0
43,2,19.0,125.0
44,2,20.0,121.0
45,2,20.0,122.0
46,2,20.0,123.0
47,2,20.0,124.0
48,2,20.0,125.0
49,2,20.0,126.0
50,2,21.0,121.0
51,2,21.0,122.0
52,2,21.0,123.0
53,2,21.0,124.0
54,2,21.0,125.0
55,2,21.0,126.0
56,2,21.0,127.0
57,2,21.0,129.0
58,2,21.0,131.0
59,2,21.0,132.0
60,2,22.0,124.0
61,2,22.0,125.0
62,2,22.0,127.0
63,2,22.0,128.0
64,2,22.0,129.0
65,2,22.0,130.0
66,2,22.0,131.0
67,2,22.0,134.0
68,2,23.0,125.0
69,2,23.0,126.0
70,2,23.0,127.0
71,2,23.0,129.0
72,2,23.0,130.0
73,2,23.0,133.0
74,2,23.0,134.0
75,2,23.0,139.0
76,2,24.0,125.0
77,2,24.0,128.0
78,2,24.0,129.0
79,2,24.0,130.0
80,2,24.0,131.0
81,2,24.0,132.0
82,2,24.0,134.0
83,2,24.0,135.0
84,2,24.0,136.0
85,2,24.0,138.0
86,2,25.0,126.0
87,2,25.0,128.0
88,2,25.0,129.0
89,2,25.0,132.0
90,2,25.0,135.0
91,2,25.0,136.0
92,2,25.0,137.0
93,2,25.0,138.0
94,2,26.0,128.0
95,2,26.0,129.0
96,2,26.0,130.0
97,2,26.0,133.0
98,2,26.0,134.0
99,2,26.0,135.0
100,2,26.0,136.0
101,2,26.0,137.0
102,2,26.0,138.0
103,2,26.0,139.0
104,2,26.0,143.0
105,2,27.0,127.0
106,2,27.0,128.0
107,2,27.0,130.0
108,2,27.0,131.0
109,2,27.0,133.0
110,2,27.0,134.0
111,2,27.0,135.0
112,2,27.0,136.0
113,2,27.0,137.0
114,2,27.0,138.0
115,2,27.0,139.0
116,2,27.0,140.0
