,depth,node_lat,node_lng
0,0,8.0,72.0
1,1,1.0,71.0
2,1,1.0,74.0
3,1,1.0,75.0
4,1,0.0,77.0
5,1,1.0,76.0
6,1,1.0,67.0
7,1,4.0,62.0
8,1,4.0,65.0
9,1,3.0,66.0
10,1,4.0,67.0
11,1,4.0,70.0
12,1,4.0,71.0
13,1,3.0,73.0
14,1,5.0,62.0
15,1,5.0,64.0
16,1,3.0,67.0
17,1,5.0,69.0
18,1,5.0,74.0
19,1,4.0,74.0
20,1,4.0,77.0
21,1,5.0,77.0
22,1,6.0,64.0
23,1,6.0,67.0
24,1,6.0,66.0
25,1,4.0,68.0
26,1,6.0,70.0
27,1,6.0,71.0
28,1,4.0,72.0
29,1,6.0,75.0
30,1,5.0,76.0
31,1,6.0,78.0
32,1,5.0,70.0
33,1,7.0,70.0
34,1,7.0,73.0
35,1,6.0,74.0
36,1,6.0,73.0
37,1,6.0,77.0
38,1,7.0,67.0
39,1,7.0,69.0
40,1,6.0,69.0
41,1,8.0,70.0
42,1,7.0,72.0
43,1,7.0,74.0
44,1,6.0,76.0
45,1,7.0,77.0
46,1,8.0,78.0
47,1,8.0,72.0
48,1,8.0,73.0
49,1,9.0,74.0
50,1,8.0,69.0
51,1,10.0,69.0
52,1,9.0,70.0
53,1,10.0,71.0
54,1,10.0,66.0
55,1,9.0,67.0
56,1,11.0,69.0
57,1,11.0,70.0
58,1,9.0,71.0
59,1,10.0,72.0
60,1,11.0,75.0
61,1,12.0,65.0
62,1,10.0,68.0
63,1,11.0,68.0
64,1,10.0,70.0
65,1,11.0,72.0
66,1,10.0,73.0
67,1,12.0,75.0
68,1,13.0,68.0
69,1,12.0,70.0
70,1,12.0,74.0
71,1,13.0,73.0
72,1,14.0,66.0
73,1,13.0,71.0
74,1,13.0,72.0
75,1,14.0,73.0
76,1,14.0,72.0
77,1,12.0,73.0
78,1,13.0,69.0
79,1,13.0,70.0
80,1,14.0,71.0
81,1,15.0,72.0
82,1,16.0,68.0
83,1,14.0,68.0
84,1,15.0,69.0
85,1,16.0,70.0
86,2,0.0,76.0
87,2,0.0,92.0
88,2,-2.0,92.0
89,2,-1.0,65.0
90,2,-1.0,68.0
91,2,0.0,68.0
92,2,0.0,70.0
93,2,-1.0,71.0
94,2,-1.0,74.0
95,2,0.0,74.0
96,2,0.0,81.0
97,2,0.0,83.0
98,2,-1.0,87.0
99,2,-1.0,92.0
100,2,2.0,66.0
101,2,0.0,67.0
102,2,0.0,69.0
103,2,2.0,71.0
104,2,0.0,72.0
105,2,0.0,73.0
106,2,1.0,77.0
107,2,0.0,78.0
108,2,1.0,79.0
109,2,1.0,81.0
110,2,2.0,82.0
111,2,0.0,85.0
112,2,2.0,86.0
113,2,2.0,88.0
114,2,1.0,56.0
115,2,3.0,58.0
116,2,1.0,58.0
117,2,2.0,60.0
118,2,3.0,60.0
119,2,3.0,62.0
120,2,2.0,63.0
121,2,3.0,64.0
122,2,1.0,65.0
123,2,1.0,68.0
124,2,3.0,68.0
125,2,1.0,71.0
126,2,3.0,73.0
127,2,1.0,75.0
128,2,2.0,76.0
129,2,3.0,76.0
130,2,2.0,79.0
131,2,1.0,78.0
132,2,2.0,80.0
133,2,2.0,81.0
134,2,1.0,83.0
135,2,3.0,82.0
136,2,2.0,85.0
137,2,1.0,86.0
138,2,3.0,86.0
139,2,2.0,57.0
140,2,4.0,57.0
141,2,4.0,61.0
142,2,4.0,62.0
143,2,2.0,64.0
144,2,3.0,72.0
145,2,2.0,74.0
146,2,4.0,75.0
147,2,2.0,77.0
148,2,4.0,78.0
149,2,3.0,80.0
150,2,4.0,81.0
151,2,3.0,83.0
152,2,4.0,83.0
153,2,4.0,85.0
154,2,4.0,88.0
155,2,2.0,89.0
156,2,4.0,90.0
157,2,3.0,89.0
158,2,2.0,91.0
159,2,5.0,54.0
160,2,3.0,55.0
161,2,5.0,55.0
162,2,5.0,57.0
163,2,5.0,58.0
164,2,5.0,59.0
165,2,3.0,65.0
166,2,5.0,69.0
167,2,5.0,70.0
168,2,4.0,72.0
169,2,4.0,73.0
170,2,5.0,77.0
171,2,5.0,79.0
172,2,5.0,83.0
173,2,3.0,84.0
174,2,3.0,92.0
175,2,6.0,57.0
176,2,6.0,61.0
177,2,6.0,62.0
178,2,6.0,64.0
179,2,4.0,66.0
180,2,5.0,68.0
181,2,5.0,75.0
182,2,6.0,78.0
183,2,5.0,80.0
184,2,7.0,57.0
185,2,6.0,60.0
186,2,7.0,63.0
187,2,7.0,64.0
188,2,6.0,66.0
189,2,6.0,65.0
190,2,7.0,67.0
191,2,5.0,67.0
192,2,6.0,68.0
193,2,6.0,80.0
194,2,6.0,55.0
195,2,7.0,65.0
196,2,8.0,66.0
197,2,6.0,67.0
198,2,7.0,56.0
199,2,7.0,61.0
200,2,8.0,63.0
201,2,9.0,66.0
202,2,9.0,62.0
203,2,10.0,63.0
204,2,8.0,67.0
205,2,11.0,64.0
206,2,10.0,64.0
207,2,12.0,64.0
208,2,13.0,63.0
209,2,12.0,66.0
210,2,11.0,68.0
211,2,14.0,66.0
212,2,12.0,65.0
213,2,15.0,62.0
214,2,14.0,64.0
215,2,15.0,67.0
216,2,16.0,68.0
217,2,17.0,70.0
218,3,-8.0,62.0
219,3,-6.0,56.0
220,3,-5.0,63.0
221,3,-5.0,72.0
222,3,-7.0,71.0
223,3,-5.0,92.0
224,3,-5.0,55.0
225,3,-5.0,70.0
226,3,-6.0,72.0
227,3,-5.0,57.0
228,3,-3.0,71.0
229,3,-3.0,73.0
230,3,-2.0,67.0
231,3,-3.0,80.0
232,3,-2.0,89.0
233,3,-2.0,57.0
234,3,-3.0,60.0
235,3,-1.0,65.0
236,3,-1.0,66.0
237,3,-3.0,67.0
238,3,-3.0,69.0
239,3,-1.0,70.0
240,3,-1.0,85.0
241,3,-1.0,90.0
242,3,-2.0,90.0
243,3,-1.0,60.0
244,3,0.0,61.0
245,3,0.0,67.0
246,3,0.0,69.0
247,3,-2.0,71.0
248,3,-2.0,75.0
249,3,0.0,76.0
250,3,0.0,77.0
251,3,-1.0,79.0
252,3,-2.0,81.0
253,3,-2.0,82.0
254,3,0.0,87.0
255,3,-1.0,89.0
256,3,-1.0,93.0
257,3,0.0,58.0
258,3,-1.0,59.0
259,3,1.0,60.0
260,3,-1.0,62.0
261,3,0.0,63.0
262,3,-1.0,64.0
263,3,-1.0,71.0
264,3,-1.0,75.0
265,3,1.0,77.0
266,3,-1.0,77.0
267,3,1.0,79.0
268,3,-1.0,83.0
269,3,-1.0,84.0
270,3,0.0,86.0
271,3,1.0,87.0
272,3,-1.0,88.0
273,3,1.0,90.0
274,3,1.0,92.0
275,3,1.0,52.0
276,3,0.0,59.0
277,3,1.0,62.0
278,3,2.0,61.0
279,3,1.0,63.0
280,3,1.0,65.0
281,3,0.0,88.0
282,3,0.0,91.0
283,3,0.0,94.0
284,3,2.0,52.0
285,3,2.0,70.0
286,3,1.0,74.0
287,3,2.0,88.0
288,3,2.0,92.0
289,3,1.0,91.0
290,3,2.0,94.0
291,3,2.0,95.0
292,3,3.0,69.0
293,3,2.0,93.0
294,3,5.0,61.0
295,3,4.0,64.0
296,3,5.0,85.0
297,3,5.0,86.0
298,3,3.0,85.0
299,3,5.0,88.0
300,3,4.0,88.0
301,3,6.0,79.0
302,3,5.0,82.0
303,3,5.0,83.0
304,3,6.0,87.0
305,3,5.0,87.0
306,3,6.0,89.0
307,3,6.0,81.0
308,3,6.0,83.0
309,3,6.0,85.0
310,3,7.0,85.0
311,3,8.0,82.0
312,3,6.0,84.0
313,3,8.0,85.0
314,3,7.0,86.0
315,3,6.0,88.0
316,3,7.0,88.0
317,3,6.0,90.0
318,3,8.0,90.0
319,3,7.0,90.0
320,3,6.0,92.0
321,3,9.0,83.0
322,3,9.0,86.0
323,3,8.0,86.0
324,3,9.0,90.0
325,3,8.0,91.0
326,3,8.0,60.0
327,3,8.0,88.0
328,3,9.0,87.0
329,3,8.0,94.0
330,3,10.0,93.0
331,3,10.0,94.0
332,3,11.0,97.0
333,4,-13.0,69.0
334,4,-11.0,71.0
335,4,-11.0,58.0
336,4,-11.0,65.0
337,4,-10.0,65.0
338,4,-10.0,67.0
339,4,-10.0,76.0
340,4,-11.0,78.0
341,4,-11.0,45.0
342,4,-11.0,46.0
343,4,-9.0,54.0
344,4,-9.0,55.0
345,4,-11.0,66.0
346,4,-9.0,80.0
347,4,-9.0,50.0
348,4,-10.0,51.0
349,4,-8.0,54.0
350,4,-10.0,55.0
351,4,-9.0,59.0
352,4,-8.0,64.0
353,4,-10.0,66.0
354,4,-9.0,70.0
355,4,-9.0,56.0
356,4,-8.0,61.0
357,4,-7.0,63.0
358,4,-8.0,62.0
359,4,-7.0,66.0
360,4,-9.0,68.0
361,4,-7.0,70.0
362,4,-7.0,56.0
363,4,-8.0,71.0
364,4,-6.0,63.0
365,4,-5.0,67.0
366,4,-5.0,69.0
367,4,-5.0,66.0
368,4,-6.0,80.0
369,4,-5.0,54.0
370,4,-3.0,64.0
371,4,-4.0,90.0
372,4,-5.0,91.0
373,4,-5.0,97.0
374,4,-3.0,53.0
375,4,-4.0,54.0
376,4,-4.0,61.0
377,4,-4.0,64.0
378,4,-2.0,77.0
379,4,-4.0,78.0
380,4,-4.0,85.0
381,4,-4.0,89.0
382,4,-2.0,91.0
383,4,-4.0,92.0
384,4,-3.0,92.0
385,4,-2.0,93.0
386,4,-3.0,94.0
387,4,-2.0,95.0
388,4,-2.0,56.0
389,4,-2.0,57.0
390,4,-1.0,63.0
391,4,-2.0,73.0
392,4,-1.0,74.0
393,4,-1.0,76.0
394,4,-1.0,91.0
395,4,-1.0,93.0
396,4,-2.0,50.0
397,4,0.0,58.0
398,4,0.0,62.0
399,4,0.0,66.0
400,4,-2.0,69.0
401,4,-1.0,71.0
402,4,-2.0,72.0
403,4,0.0,80.0
404,4,0.0,82.0
405,4,0.0,83.0
406,4,0.0,86.0
407,4,-1.0,86.0
408,4,-2.0,87.0
409,4,-2.0,94.0
410,4,1.0,57.0
411,4,-1.0,57.0
412,4,0.0,68.0
413,4,0.0,94.0
414,4,2.0,58.0
415,4,1.0,88.0
416,4,0.0,90.0
417,4,0.0,91.0
418,4,3.0,89.0
419,4,1.0,91.0
420,4,3.0,96.0
421,4,2.0,93.0
422,4,2.0,94.0
423,4,2.0,96.0
424,4,5.0,90.0
425,4,5.0,91.0
426,4,5.0,93.0
427,4,4.0,95.0
428,4,6.0,89.0
429,4,6.0,93.0
430,4,6.0,82.0
431,4,7.0,85.0
432,4,6.0,90.0
433,4,7.0,92.0
434,4,7.0,94.0
435,4,6.0,94.0
436,4,8.0,96.0
437,4,9.0,82.0
438,4,7.0,90.0
439,4,9.0,89.0
440,4,8.0,85.0
441,4,9.0,85.0
442,4,8.0,88.0
443,4,8.0,89.0
444,4,10.0,95.0
445,4,10.0,83.0
446,4,9.0,87.0
447,4,10.0,89.0
448,4,11.0,90.0
449,4,11.0,92.0
450,4,11.0,91.0
451,4,9.0,93.0
452,4,11.0,93.0
453,4,9.0,96.0
454,4,11.0,87.0
455,4,12.0,86.0
456,4,12.0,89.0
457,4,10.0,96.0
458,4,13.0,83.0
459,4,13.0,80.0
460,4,14.0,82.0
461,4,16.0,80.0
462,4,17.0,82.0
463,5,-15.0,56.0
464,5,-15.0,58.0
465,5,-15.0,60.0
466,5,-15.0,53.0
467,5,-15.0,57.0
468,5,-12.0,59.0
469,5,-12.0,63.0
470,5,-11.0,49.0
471,5,-13.0,60.0
472,5,-11.0,62.0
473,5,-11.0,47.0
474,5,-11.0,58.0
475,5,-10.0,61.0
476,5,-11.0,63.0
477,5,-11.0,82.0
478,5,-12.0,107.0
479,5,-10.0,41.0
480,5,-10.0,43.0
481,5,-11.0,42.0
482,5,-9.0,53.0
483,5,-9.0,62.0
484,5,-9.0,63.0
485,5,-10.0,68.0
486,5,-9.0,81.0
487,5,-10.0,108.0
488,5,-9.0,41.0
489,5,-8.0,44.0
490,5,-8.0,55.0
491,5,-10.0,82.0
492,5,-10.0,87.0
493,5,-8.0,104.0
494,5,-9.0,104.0
495,5,-10.0,106.0
496,5,-10.0,105.0
497,5,-9.0,107.0
498,5,-9.0,42.0
499,5,-8.0,49.0
500,5,-9.0,49.0
501,5,-7.0,50.0
502,5,-7.0,54.0
503,5,-8.0,54.0
504,5,-9.0,57.0
505,5,-9.0,56.0
506,5,-8.0,84.0
507,5,-9.0,92.0
508,5,-7.0,100.0
509,5,-9.0,100.0
510,5,-7.0,103.0
511,5,-8.0,102.0
512,5,-8.0,105.0
513,5,-6.0,91.0
514,5,-7.0,96.0
515,5,-6.0,98.0
516,5,-8.0,99.0
517,5,-7.0,99.0
518,5,-8.0,101.0
519,5,-6.0,103.0
520,5,-7.0,104.0
521,5,-7.0,49.0
522,5,-5.0,51.0
523,5,-6.0,65.0
524,5,-7.0,69.0
525,5,-5.0,94.0
526,5,-7.0,94.0
527,5,-7.0,98.0
528,5,-5.0,102.0
529,5,-4.0,51.0
530,5,-5.0,54.0
531,5,-4.0,56.0
532,5,-5.0,83.0
533,5,-4.0,94.0
534,5,-6.0,93.0
535,5,-6.0,95.0
536,5,-5.0,97.0
537,5,-6.0,96.0
538,5,-5.0,99.0
539,5,-4.0,101.0
540,5,-3.0,45.0
541,5,-5.0,46.0
542,5,-5.0,87.0
543,5,-3.0,92.0
544,5,-3.0,93.0
545,5,-5.0,96.0
546,5,-3.0,97.0
547,5,-5.0,98.0
548,5,-5.0,100.0
549,5,-4.0,43.0
550,5,-2.0,46.0
551,5,-4.0,98.0
552,5,-4.0,97.0
553,5,-2.0,98.0
554,5,-1.0,66.0
555,5,-1.0,94.0
556,5,-2.0,96.0
557,5,-2.0,97.0
558,5,-3.0,99.0
559,5,0.0,62.0
560,5,-1.0,99.0
561,5,1.0,95.0
562,5,1.0,96.0
563,5,1.0,99.0
564,5,2.0,96.0
565,5,0.0,97.0
566,5,3.0,96.0
567,5,5.0,57.0
568,5,5.0,90.0
569,5,4.0,90.0
570,5,6.0,91.0
571,5,4.0,93.0
572,5,7.0,90.0
573,5,7.0,92.0
574,5,6.0,96.0
575,5,8.0,65.0
576,5,7.0,93.0
577,5,8.0,94.0
578,5,7.0,64.0
579,5,7.0,67.0
580,5,9.0,80.0
581,5,9.0,82.0
582,5,8.0,83.0
583,5,7.0,88.0
584,5,7.0,97.0
585,5,8.0,97.0
586,5,9.0,81.0
587,5,8.0,92.0
588,5,10.0,98.0
589,5,9.0,87.0
590,5,11.0,80.0
591,5,12.0,84.0
592,5,10.0,84.0
593,5,11.0,88.0
594,5,10.0,89.0
595,5,10.0,92.0
596,5,12.0,93.0
597,5,10.0,99.0
598,5,11.0,79.0
599,5,11.0,82.0
600,5,11.0,85.0
601,5,11.0,84.0
602,5,13.0,87.0
603,5,13.0,86.0
604,5,12.0,88.0
605,5,11.0,89.0
606,5,12.0,89.0
607,5,13.0,90.0
608,5,11.0,94.0
609,5,13.0,94.0
610,5,12.0,95.0
611,5,13.0,81.0
612,5,14.0,87.0
613,5,13.0,88.0
614,5,13.0,91.0
615,5,13.0,95.0
616,5,12.0,96.0
617,5,15.0,86.0
618,5,15.0,88.0
619,5,15.0,89.0
620,5,13.0,93.0
621,5,14.0,96.0
622,5,14.0,84.0
623,5,15.0,87.0
624,5,16.0,84.0
625,5,17.0,88.0
626,6,-18.0,56.0
627,6,-18.0,57.0
628,6,-17.0,56.0
629,6,-18.0,50.0
630,6,-18.0,52.0
631,6,-17.0,58.0
632,6,-14.0,54.0
633,6,-14.0,104.0
634,6,-13.0,103.0
635,6,-13.0,46.0
636,6,-13.0,56.0
637,6,-13.0,101.0
638,6,-11.0,115.0
639,6,-10.0,54.0
640,6,-11.0,109.0
641,6,-11.0,49.0
642,6,-11.0,99.0
643,6,-11.0,107.0
644,6,-10.0,113.0
645,6,-10.0,116.0
646,6,-9.0,117.0
647,6,-9.0,43.0
648,6,-9.0,57.0
649,6,-9.0,97.0
650,6,-8.0,100.0
651,6,-8.0,102.0
652,6,-10.0,109.0
653,6,-9.0,108.0
654,6,-9.0,110.0
655,6,-9.0,111.0
656,6,-8.0,40.0
657,6,-7.0,41.0
658,6,-8.0,44.0
659,6,-7.0,47.0
660,6,-8.0,98.0
661,6,-7.0,43.0
662,6,-7.0,53.0
663,6,-6.0,55.0
664,6,-7.0,58.0
665,6,-6.0,59.0
666,6,-8.0,67.0
667,6,-6.0,70.0
668,6,-8.0,95.0
669,6,-5.0,58.0
670,6,-6.0,69.0
671,6,-7.0,92.0
672,6,-7.0,96.0
673,6,-5.0,103.0
674,6,-4.0,46.0
675,6,-6.0,67.0
676,6,-4.0,71.0
677,6,-4.0,75.0
678,6,-4.0,101.0
679,6,-4.0,103.0
680,6,-4.0,63.0
681,6,-3.0,65.0
682,6,-4.0,70.0
683,6,-3.0,82.0
684,6,-3.0,101.0
685,6,-3.0,57.0
686,6,-4.0,60.0
687,6,-2.0,64.0
688,6,-2.0,71.0
689,6,-4.0,74.0
690,6,-2.0,74.0
691,6,-4.0,76.0
692,6,-4.0,79.0
693,6,-2.0,51.0
694,6,-2.0,79.0
695,6,-1.0,79.0
696,6,-3.0,83.0
697,6,-2.0,84.0
698,6,-1.0,88.0
699,6,5.0,57.0
700,6,8.0,57.0
701,6,8.0,79.0
702,6,7.0,82.0
703,6,7.0,59.0
704,6,8.0,64.0
705,6,9.0,80.0
706,6,10.0,82.0
707,6,9.0,86.0
708,6,9.0,81.0
709,6,11.0,82.0
710,6,9.0,84.0
711,6,10.0,86.0
712,6,11.0,80.0
713,6,11.0,83.0
714,6,11.0,92.0
715,6,11.0,94.0
716,6,13.0,82.0
717,6,12.0,92.0
718,6,13.0,84.0
719,6,14.0,83.0
720,6,14.0,89.0
721,6,13.0,89.0
722,6,13.0,91.0
723,6,12.0,95.0
724,6,15.0,83.0
725,6,15.0,90.0
726,6,14.0,93.0
727,6,15.0,70.0
728,6,16.0,71.0
729,6,14.0,80.0
730,6,15.0,82.0
731,6,16.0,85.0
732,6,16.0,87.0
733,6,16.0,90.0
734,6,17.0,81.0
735,6,17.0,87.0
736,6,16.0,68.0
737,6,17.0,84.0
738,6,18.0,84.0
739,6,18.0,85.0
740,6,17.0,86.0
741,6,18.0,87.0
742,6,17.0,85.0
743,6,19.0,85.0
744,6,19.0,87.0
745,6,19.0,84.0
746,6,20.0,88.0
747,6,19.0,88.0
748,7,-15.0,45.0
749,7,-13.0,104.0
750,7,-13.0,108.0
751,7,-15.0,108.0
752,7,-13.0,109.0
753,7,-12.0,44.0
