,depth,node_lat,node_lng
0,0,36.0,17.0
1,1,33.0,19.0
2,1,33.0,20.0
3,1,33.0,21.0
4,1,34.0,17.0
5,1,34.0,18.0
6,1,34.0,19.0
7,1,34.0,20.0
8,1,35.0,16.0
9,1,35.0,17.0
10,1,35.0,18.0
11,1,36.0,18.0
12,1,36.0,19.0
13,1,37.0,17.0
14,1,37.0,18.0
15,1,37.0,19.0
16,1,38.0,17.0
17,2,30.0,19.0
18,2,31.0,16.0
19,2,31.0,17.0
20,2,31.0,18.0
21,2,31.0,19.0
22,2,32.0,16.0
23,2,32.0,17.0
24,2,32.0,18.0
25,2,32.0,19.0
26,2,32.0,22.0
27,2,32.0,23.0
28,2,33.0,16.0
29,2,33.0,17.0
30,2,33.0,18.0
31,2,33.0,22.0
32,2,33.0,23.0
33,2,33.0,24.0
34,2,33.0,25.0
35,2,33.0,26.0
36,2,34.0,21.0
37,2,34.0,22.0
38,2,35.0,19.0
39,2,35.0,20.0
40,2,35.0,21.0
41,2,35.0,22.0
42,2,36.0,21.0
43,2,37.0,15.0
44,2,37.0,16.0
45,2,37.0,20.0
46,2,38.0,16.0
47,2,38.0,18.0
48,2,38.0,19.0
49,2,39.0,17.0
50,3,30.0,18.0
51,3,32.0,14.0
52,3,32.0,15.0
53,3,32.0,20.0
54,3,32.0,21.0
55,3,32.0,24.0
56,3,32.0,26.0
57,3,32.0,27.0
58,3,32.0,28.0
59,3,33.0,12.0
60,3,33.0,13.0
61,3,33.0,14.0
62,3,33.0,15.0
63,3,34.0,13.0
64,3,34.0,23.0
65,3,35.0,23.0
66,3,35.0,24.0
67,3,35.0,25.0
68,3,36.0,16.0
69,3,36.0,20.0
70,3,36.0,22.0
71,3,36.0,23.0
72,3,36.0,24.0
73,3,36.0,25.0
74,3,37.0,21.0
75,3,37.0,23.0
76,3,38.0,20.0
77,3,39.0,18.0
78,3,39.0,19.0
79,3,40.0,16.0
80,3,40.0,17.0
81,3,40.0,18.0
82,3,40.0,19.0
83,4,30.0,28.0
84,4,31.0,15.0
85,4,31.0,25.0
86,4,31.0,26.0
87,4,31.0,27.0
88,4,31.0,28.0
89,4,31.0,29.0
90,4,32.0,13.0
91,4,32.0,25.0
92,4,32.0,29.0
93,4,33.0,11.0
94,4,33.0,29.0
95,4,34.0,12.0
96,4,34.0,14.0
97,4,34.0,15.0
98,4,34.0,16.0
99,4,34.0,24.0
100,4,35.0,12.0
101,4,35.0,13.0
102,4,35.0,14.0
103,4,35.0,15.0
104,4,35.0,26.0
105,4,36.0,11.0
