,depth,node_lat,node_lng
0,0,35.0,348.0
1,1,16.0,307.0
2,1,16.0,312.0
3,1,16.0,317.0
4,1,16.0,322.0
5,1,16.0,327.0
6,1,16.0,332.0
7,1,16.0,337.0
8,1,21.0,302.0
9,1,21.0,307.0
10,1,21.0,312.0
11,1,21.0,317.0
12,1,21.0,322.0
13,1,21.0,327.0
14,1,21.0,332.0
15,1,21.0,337.0
16,1,21.0,342.0
17,1,26.0,307.0
18,1,26.0,312.0
19,1,26.0,317.0
20,1,26.0,322.0
21,1,26.0,327.0
22,1,26.0,332.0
23,1,26.0,337.0
24,1,26.0,342.0
25,1,26.0,347.0
26,1,31.0,312.0
27,1,31.0,317.0
28,1,31.0,322.0
29,1,31.0,327.0
30,1,31.0,332.0
31,1,31.0,337.0
32,1,31.0,342.0
33,1,31.0,347.0
34,1,31.0,352.0
35,1,36.0,332.0
36,1,36.0,337.0
37,1,36.0,342.0
38,1,36.0,347.0
39,1,36.0,352.0
40,1,36.0,357.0
41,1,41.0,347.0
42,1,41.0,352.0
43,1,46.0,357.0
44,2,16.0,287.0
45,2,16.0,292.0
46,2,16.0,297.0
47,2,16.0,302.0
48,2,21.0,282.0
49,2,21.0,287.0
50,2,21.0,292.0
51,2,21.0,297.0
52,2,26.0,282.0
53,2,26.0,287.0
54,2,26.0,292.0
55,2,26.0,297.0
56,2,26.0,302.0
57,2,31.0,282.0
58,2,31.0,287.0
59,2,31.0,292.0
60,2,31.0,297.0
61,2,31.0,302.0
62,2,31.0,307.0
63,2,36.0,287.0
64,2,36.0,292.0
65,2,36.0,297.0
66,2,36.0,302.0
67,2,36.0,307.0
68,2,36.0,312.0
69,2,36.0,317.0
70,2,36.0,322.0
71,2,36.0,327.0
72,3,41.0,297.0
73,3,41.0,302.0
74,3,41.0,312.0
75,3,41.0,317.0
76,3,41.0,322.0
77,3,41.0,327.0
78,3,41.0,332.0
79,4,41.0,337.0
80,4,41.0,342.0
81,4,41.0,357.0
82,4,46.0,352.0
83,4,51.0,357.0
