,depth,node_lat,node_lng
0,0,37.0,290.0
1,1,32.0,289.0
2,1,34.0,292.0
3,1,33.0,293.0
4,1,35.0,291.0
5,1,34.0,304.0
6,1,34.0,291.0
7,1,36.0,293.0
8,1,36.0,294.0
9,1,36.0,297.0
10,1,35.0,299.0
11,1,36.0,303.0
12,1,35.0,305.0
13,1,35.0,294.0
14,1,37.0,294.0
15,1,37.0,305.0
16,1,35.0,310.0
17,1,37.0,290.0
18,1,38.0,292.0
19,1,37.0,296.0
20,1,36.0,295.0
21,1,36.0,301.0
22,1,37.0,301.0
23,1,39.0,291.0
24,1,38.0,293.0
25,1,39.0,293.0
26,1,37.0,297.0
27,1,39.0,309.0
28,1,38.0,312.0
29,1,38.0,289.0
30,1,39.0,290.0
31,1,38.0,290.0
32,1,39.0,292.0
33,1,39.0,295.0
34,1,38.0,297.0
35,1,39.0,298.0
36,1,39.0,301.0
37,1,39.0,316.0
38,1,41.0,291.0
39,1,39.0,296.0
40,1,40.0,296.0
41,1,41.0,297.0
42,1,41.0,299.0
43,1,40.0,321.0
44,1,39.0,321.0
45,1,42.0,301.0
46,1,41.0,300.0
47,1,41.0,304.0
48,1,40.0,306.0
49,1,43.0,299.0
50,1,41.0,305.0
51,1,41.0,318.0
52,2,29.0,284.0
53,2,29.0,295.0
54,2,32.0,288.0
55,2,30.0,289.0
56,2,32.0,290.0
57,2,32.0,291.0
58,2,31.0,293.0
59,2,32.0,295.0
60,2,30.0,295.0
61,2,32.0,297.0
62,2,30.0,296.0
63,2,32.0,302.0
64,2,31.0,305.0
65,2,30.0,308.0
66,2,32.0,286.0
67,2,31.0,289.0
68,2,33.0,291.0
69,2,32.0,292.0
70,2,32.0,294.0
71,2,31.0,295.0
72,2,33.0,295.0
73,2,31.0,298.0
74,2,31.0,299.0
75,2,31.0,303.0
76,2,32.0,303.0
77,2,32.0,306.0
78,2,31.0,307.0
79,2,33.0,312.0
80,2,32.0,317.0
81,2,32.0,282.0
82,2,34.0,285.0
83,2,34.0,288.0
84,2,32.0,289.0
85,2,33.0,292.0
86,2,34.0,294.0
87,2,34.0,297.0
88,2,33.0,300.0
89,2,34.0,302.0
90,2,33.0,302.0
91,2,34.0,305.0
92,2,33.0,305.0
93,2,34.0,307.0
94,2,32.0,310.0
95,2,34.0,309.0
96,2,34.0,312.0
97,2,33.0,314.0
98,2,34.0,316.0
99,2,34.0,317.0
100,2,33.0,283.0
101,2,35.0,286.0
102,2,35.0,288.0
103,2,33.0,287.0
104,2,34.0,292.0
105,2,34.0,293.0
106,2,33.0,294.0
107,2,35.0,297.0
108,2,35.0,299.0
109,2,35.0,303.0
110,2,33.0,303.0
111,2,34.0,304.0
112,2,35.0,306.0
113,2,33.0,307.0
114,2,33.0,310.0
115,2,33.0,311.0
116,2,33.0,313.0
117,2,34.0,313.0
118,2,33.0,315.0
119,2,34.0,318.0
120,2,36.0,287.0
121,2,35.0,291.0
122,2,36.0,294.0
123,2,34.0,295.0
124,2,35.0,298.0
125,2,36.0,300.0
126,2,36.0,302.0
127,2,35.0,304.0
128,2,35.0,307.0
129,2,36.0,310.0
130,2,35.0,310.0
131,2,36.0,314.0
132,2,35.0,318.0
133,2,36.0,321.0
134,2,34.0,321.0
135,2,36.0,322.0
136,2,36.0,286.0
137,2,35.0,289.0
138,2,37.0,292.0
139,2,37.0,293.0
140,2,35.0,293.0
141,2,37.0,297.0
142,2,37.0,299.0
143,2,37.0,300.0
144,2,37.0,305.0
145,2,37.0,308.0
146,2,37.0,307.0
147,2,36.0,309.0
148,2,35.0,313.0
149,2,37.0,313.0
150,2,36.0,316.0
151,2,36.0,317.0
152,2,36.0,323.0
153,2,35.0,323.0
154,2,36.0,324.0
155,2,37.0,328.0
156,2,37.0,285.0
157,2,38.0,285.0
158,2,36.0,288.0
159,2,38.0,287.0
160,2,37.0,290.0
161,2,38.0,299.0
162,2,38.0,300.0
163,2,37.0,303.0
164,2,36.0,303.0
165,2,38.0,306.0
166,2,38.0,308.0
167,2,38.0,309.0
168,2,36.0,311.0
169,2,37.0,311.0
170,2,38.0,314.0
171,2,36.0,313.0
172,2,38.0,317.0
173,2,39.0,288.0
174,2,39.0,289.0
175,2,38.0,290.0
176,2,39.0,291.0
177,2,38.0,294.0
178,2,37.0,296.0
179,2,38.0,301.0
180,2,39.0,302.0
181,2,38.0,303.0
182,2,39.0,303.0
183,2,37.0,304.0
184,2,39.0,306.0
185,2,37.0,306.0
186,2,37.0,309.0
187,2,39.0,312.0
188,2,37.0,312.0
189,2,39.0,314.0
190,2,38.0,315.0
191,2,37.0,321.0
192,2,37.0,325.0
193,2,39.0,287.0
194,2,40.0,289.0
195,2,39.0,293.0
196,2,40.0,300.0
197,2,38.0,302.0
198,2,40.0,304.0
199,2,38.0,305.0
200,2,39.0,304.0
201,2,39.0,307.0
202,2,40.0,307.0
203,2,40.0,311.0
204,2,40.0,313.0
205,2,40.0,315.0
206,2,38.0,318.0
207,2,39.0,319.0
208,2,40.0,319.0
209,2,39.0,321.0
210,2,39.0,322.0
211,2,39.0,325.0
212,2,40.0,326.0
213,2,41.0,299.0
214,2,39.0,300.0
215,2,41.0,300.0
216,2,39.0,301.0
217,2,40.0,303.0
218,2,40.0,306.0
219,2,41.0,307.0
220,2,41.0,306.0
221,2,40.0,308.0
222,2,40.0,310.0
223,2,40.0,312.0
224,2,39.0,313.0
225,2,39.0,315.0
226,2,40.0,316.0
227,2,41.0,318.0
228,2,40.0,318.0
229,2,40.0,320.0
230,2,40.0,323.0
231,2,42.0,294.0
232,2,41.0,296.0
233,2,40.0,296.0
234,2,42.0,298.0
235,2,40.0,298.0
236,2,40.0,299.0
237,2,42.0,301.0
238,2,41.0,305.0
239,2,42.0,307.0
240,2,41.0,310.0
241,2,41.0,311.0
242,2,41.0,313.0
243,2,41.0,315.0
244,2,42.0,315.0
245,2,42.0,320.0
246,2,42.0,323.0
247,2,41.0,323.0
248,2,42.0,326.0
249,2,42.0,328.0
250,2,43.0,296.0
251,2,42.0,297.0
252,2,42.0,299.0
253,2,41.0,302.0
254,2,42.0,304.0
255,2,43.0,308.0
256,2,43.0,307.0
257,2,42.0,314.0
258,2,42.0,316.0
