,depth,node_lat,node_lng
0,0,21.0,249.0
1,1,-10.0,276.0
2,1,-5.0,266.0
3,1,-5.0,271.0
4,1,0.0,256.0
5,1,0.0,261.0
6,1,0.0,266.0
7,1,0.0,271.0
8,1,0.0,276.0
9,1,0.0,281.0
10,1,5.0,211.0
11,1,5.0,226.0
12,1,5.0,241.0
13,1,5.0,251.0
14,1,5.0,256.0
15,1,5.0,261.0
16,1,5.0,266.0
17,1,5.0,271.0
18,1,5.0,276.0
19,1,5.0,281.0
20,1,10.0,171.0
21,1,10.0,176.0
22,1,10.0,181.0
23,1,10.0,186.0
24,1,10.0,191.0
25,1,10.0,196.0
26,1,10.0,201.0
27,1,10.0,206.0
28,1,10.0,211.0
29,1,10.0,216.0
30,1,10.0,221.0
31,1,10.0,226.0
32,1,10.0,231.0
33,1,10.0,236.0
34,1,10.0,241.0
35,1,10.0,246.0
36,1,10.0,251.0
37,1,10.0,256.0
38,1,10.0,261.0
39,1,10.0,266.0
40,1,10.0,271.0
41,1,10.0,276.0
42,1,10.0,281.0
43,1,15.0,171.0
44,1,15.0,176.0
45,1,15.0,181.0
46,1,15.0,186.0
47,1,15.0,191.0
48,1,15.0,196.0
49,1,15.0,201.0
50,1,15.0,206.0
51,1,15.0,211.0
52,1,15.0,216.0
53,1,15.0,221.0
54,1,15.0,226.0
55,1,15.0,231.0
56,1,15.0,236.0
57,1,15.0,241.0
58,1,15.0,246.0
59,1,15.0,251.0
60,1,15.0,256.0
61,1,15.0,261.0
62,1,15.0,266.0
63,1,20.0,181.0
64,1,20.0,186.0
65,1,20.0,191.0
66,1,20.0,196.0
67,1,20.0,201.0
68,1,20.0,206.0
69,1,20.0,211.0
70,1,20.0,216.0
71,1,20.0,221.0
72,1,20.0,226.0
73,1,20.0,231.0
74,1,20.0,236.0
75,1,20.0,241.0
76,1,20.0,246.0
77,1,20.0,251.0
78,1,20.0,256.0
79,1,25.0,186.0
80,1,25.0,191.0
81,1,25.0,196.0
82,1,25.0,201.0
83,1,25.0,206.0
84,1,25.0,211.0
85,1,25.0,216.0
86,1,25.0,221.0
87,1,25.0,226.0
88,1,25.0,231.0
89,1,25.0,236.0
90,1,25.0,241.0
91,1,25.0,246.0
92,1,25.0,251.0
93,1,30.0,206.0
94,2,15.0,151.0
95,2,15.0,156.0
96,2,15.0,161.0
97,2,15.0,166.0
98,2,20.0,136.0
99,2,20.0,141.0
100,2,20.0,146.0
101,2,20.0,151.0
102,2,20.0,156.0
103,2,20.0,161.0
104,2,20.0,166.0
105,2,20.0,171.0
106,2,20.0,176.0
107,2,25.0,131.0
108,2,25.0,136.0
109,2,25.0,141.0
110,2,25.0,146.0
111,2,25.0,151.0
112,2,25.0,156.0
113,2,25.0,161.0
114,2,25.0,166.0
115,2,25.0,171.0
116,2,25.0,176.0
117,2,25.0,181.0
118,2,30.0,141.0
119,2,30.0,146.0
120,2,30.0,151.0
121,2,30.0,156.0
122,2,30.0,161.0
123,2,30.0,166.0
124,2,30.0,171.0
125,2,30.0,176.0
126,2,30.0,181.0
127,2,30.0,186.0
128,2,30.0,191.0
129,2,30.0,196.0
130,2,30.0,201.0
131,2,30.0,211.0
132,2,30.0,216.0
133,2,30.0,221.0
134,2,35.0,151.0
135,2,35.0,161.0
136,2,35.0,186.0
137,2,35.0,191.0
138,2,35.0,196.0
139,2,35.0,201.0
140,2,35.0,206.0
141,2,35.0,211.0
142,2,35.0,216.0
143,3,-5.0,106.0
144,3,20.0,121.0
145,3,20.0,126.0
146,3,20.0,131.0
147,3,25.0,126.0
148,3,30.0,126.0
149,3,30.0,131.0
150,3,30.0,136.0
151,3,30.0,226.0
152,3,30.0,231.0
153,3,35.0,141.0
154,3,35.0,146.0
155,3,35.0,156.0
156,3,35.0,166.0
157,3,35.0,171.0
158,3,35.0,176.0
159,3,35.0,181.0
160,3,35.0,221.0
161,3,35.0,226.0
162,3,35.0,231.0
163,3,40.0,196.0
164,3,40.0,201.0
165,3,40.0,206.0
166,3,40.0,211.0
167,3,40.0,216.0
168,3,40.0,221.0
169,3,40.0,226.0
170,4,-15.0,141.0
171,4,0.0,106.0
172,4,30.0,236.0
173,4,40.0,231.0
174,5,-15.0,136.0
175,5,0.0,121.0
176,5,35.0,236.0
