,depth,node_lat,node_lng
0,0,-38.0,22.0
1,1,-44.0,12.0
2,1,-44.0,17.0
3,1,-44.0,22.0
4,1,-44.0,27.0
5,1,-44.0,32.0
6,1,-44.0,37.0
7,1,-44.0,42.0
8,1,-44.0,47.0
9,1,-44.0,52.0
10,1,-44.0,57.0
11,1,-44.0,62.0
12,1,-44.0,67.0
13,1,-44.0,72.0
14,1,-44.0,77.0
15,1,-44.0,82.0
16,1,-44.0,87.0
17,1,-44.0,92.0
18,1,-44.0,97.0
19,1,-39.0,12.0
20,1,-39.0,17.0
21,1,-39.0,22.0
22,1,-39.0,27.0
23,1,-39.0,32.0
24,1,-39.0,37.0
25,1,-39.0,42.0
26,1,-39.0,47.0
27,1,-39.0,52.0
28,1,-39.0,57.0
29,1,-39.0,62.0
30,1,-39.0,67.0
31,1,-39.0,72.0
32,1,-39.0,77.0
33,1,-39.0,82.0
34,1,-39.0,87.0
35,1,-39.0,92.0
36,1,-39.0,97.0
37,1,-39.0,102.0
38,1,-39.0,107.0
39,1,-39.0,112.0
40,1,-39.0,117.0
41,1,-39.0,122.0
42,1,-39.0,127.0
43,1,-34.0,2.0
44,1,-34.0,7.0
45,1,-34.0,12.0
46,1,-34.0,17.0
47,1,-34.0,22.0
48,1,-34.0,27.0
49,1,-34.0,32.0
50,1,-34.0,37.0
51,1,-34.0,42.0
52,1,-34.0,47.0
53,1,-34.0,52.0
54,1,-34.0,57.0
55,1,-34.0,62.0
56,1,-34.0,67.0
57,1,-34.0,72.0
58,1,-34.0,77.0
59,1,-34.0,82.0
60,1,-34.0,87.0
61,1,-34.0,92.0
62,1,-34.0,97.0
63,1,-34.0,102.0
64,1,-34.0,107.0
65,1,-34.0,112.0
66,1,-34.0,122.0
67,1,-34.0,357.0
68,1,-29.0,2.0
69,1,-29.0,7.0
70,1,-29.0,12.0
71,1,-29.0,17.0
72,1,-29.0,32.0
73,1,-29.0,37.0
74,1,-29.0,42.0
75,1,-29.0,47.0
76,1,-29.0,52.0
77,1,-29.0,57.0
78,1,-29.0,62.0
79,1,-29.0,67.0
80,1,-29.0,72.0
81,1,-29.0,77.0
82,1,-29.0,82.0
83,1,-29.0,87.0
84,1,-29.0,92.0
85,1,-29.0,97.0
86,1,-29.0,102.0
87,1,-29.0,107.0
88,1,-29.0,112.0
89,1,-29.0,322.0
90,1,-29.0,327.0
91,1,-29.0,332.0
92,1,-29.0,337.0
93,1,-29.0,342.0
94,1,-29.0,347.0
95,1,-29.0,352.0
96,1,-29.0,357.0
97,1,-24.0,2.0
98,1,-24.0,7.0
99,1,-24.0,12.0
100,1,-24.0,37.0
101,1,-24.0,62.0
102,1,-24.0,72.0
103,1,-24.0,82.0
104,1,-24.0,92.0
105,1,-24.0,107.0
106,1,-24.0,317.0
107,1,-24.0,322.0
108,1,-24.0,327.0
109,1,-24.0,332.0
110,1,-24.0,337.0
111,1,-24.0,342.0
112,1,-24.0,347.0
113,1,-24.0,352.0
114,1,-24.0,357.0
115,1,-19.0,2.0
116,1,-19.0,7.0
117,1,-19.0,322.0
118,1,-19.0,327.0
119,1,-19.0,332.0
120,1,-19.0,337.0
121,1,-19.0,342.0
122,1,-19.0,347.0
123,1,-19.0,352.0
124,1,-19.0,357.0
125,1,-14.0,322.0
126,1,-14.0,337.0
127,1,-14.0,342.0
128,1,-14.0,347.0
129,1,-14.0,352.0
130,1,-14.0,357.0
131,2,-44.0,147.0
132,2,-44.0,152.0
133,2,-39.0,137.0
134,2,-39.0,142.0
135,2,-39.0,147.0
136,2,-39.0,152.0
137,2,-39.0,157.0
138,2,-39.0,322.0
139,2,-39.0,347.0
140,2,-34.0,117.0
141,2,-34.0,127.0
142,2,-34.0,132.0
143,2,-34.0,137.0
144,2,-34.0,307.0
145,2,-34.0,317.0
146,2,-34.0,322.0
147,2,-34.0,327.0
148,2,-34.0,332.0
149,2,-34.0,337.0
150,2,-34.0,342.0
151,2,-34.0,347.0
152,2,-34.0,352.0
153,2,-29.0,317.0
154,2,-24.0,42.0
155,2,-24.0,47.0
156,2,-24.0,52.0
157,2,-24.0,57.0
158,2,-24.0,67.0
159,2,-24.0,77.0
160,2,-24.0,87.0
161,2,-24.0,97.0
162,2,-24.0,102.0
163,2,-24.0,112.0
164,2,-19.0,52.0
165,2,-19.0,57.0
166,2,-19.0,62.0
167,2,-19.0,67.0
168,2,-19.0,72.0
169,2,-19.0,77.0
170,2,-19.0,82.0
171,2,-19.0,92.0
172,2,-19.0,97.0
173,2,-14.0,52.0
174,3,-39.0,357.0
175,3,-19.0,37.0
176,3,-19.0,42.0
177,4,-39.0,352.0
178,5,-39.0,2.0
