,depth,node_lat,node_lng
0,0,-33.0,312.0
1,1,-43.0,2.0
2,1,-43.0,7.0
3,1,-43.0,12.0
4,1,-43.0,17.0
5,1,-43.0,22.0
6,1,-43.0,32.0
7,1,-43.0,307.0
8,1,-43.0,312.0
9,1,-43.0,317.0
10,1,-43.0,322.0
11,1,-43.0,327.0
12,1,-43.0,332.0
13,1,-43.0,337.0
14,1,-43.0,342.0
15,1,-43.0,347.0
16,1,-43.0,352.0
17,1,-43.0,357.0
18,1,-38.0,2.0
19,1,-38.0,7.0
20,1,-38.0,12.0
21,1,-38.0,17.0
22,1,-38.0,307.0
23,1,-38.0,312.0
24,1,-38.0,317.0
25,1,-38.0,322.0
26,1,-38.0,327.0
27,1,-38.0,332.0
28,1,-38.0,337.0
29,1,-38.0,342.0
30,1,-38.0,347.0
31,1,-38.0,352.0
32,1,-38.0,357.0
33,1,-33.0,2.0
34,1,-33.0,7.0
35,1,-33.0,12.0
36,1,-33.0,17.0
37,1,-33.0,307.0
38,1,-33.0,317.0
39,1,-33.0,322.0
40,1,-33.0,327.0
41,1,-33.0,332.0
42,1,-33.0,337.0
43,1,-33.0,342.0
44,1,-33.0,347.0
45,1,-33.0,352.0
46,1,-33.0,357.0
47,1,-28.0,2.0
48,1,-28.0,7.0
49,1,-28.0,12.0
50,1,-28.0,312.0
51,1,-28.0,317.0
52,1,-28.0,322.0
53,1,-28.0,327.0
54,1,-28.0,332.0
55,1,-28.0,337.0
56,1,-28.0,342.0
57,1,-28.0,347.0
58,1,-28.0,352.0
59,1,-28.0,357.0
60,1,-23.0,2.0
61,1,-23.0,357.0
62,2,-23.0,7.0
63,2,-23.0,322.0
64,2,-23.0,327.0
65,2,-23.0,332.0
66,2,-23.0,337.0
67,2,-23.0,342.0
68,2,-23.0,347.0
69,2,-23.0,352.0
70,2,-18.0,337.0
71,2,-18.0,347.0
