,depth,node_lat,node_lng
0,0,1.0,357.0
1,1,-26.0,317.0
2,1,-26.0,322.0
3,1,-21.0,322.0
4,1,-16.0,322.0
5,1,-16.0,327.0
6,1,-16.0,332.0
7,1,-11.0,322.0
8,1,-11.0,327.0
9,1,-11.0,332.0
10,1,-11.0,337.0
11,1,-11.0,342.0
12,1,-11.0,347.0
13,1,-11.0,352.0
14,1,-6.0,2.0
15,1,-6.0,7.0
16,1,-6.0,322.0
17,1,-6.0,327.0
18,1,-6.0,332.0
19,1,-6.0,337.0
20,1,-6.0,342.0
21,1,-6.0,347.0
22,1,-6.0,352.0
23,1,-6.0,357.0
24,1,-1.0,2.0
25,1,-1.0,7.0
26,1,-1.0,312.0
27,1,-1.0,317.0
28,1,-1.0,322.0
29,1,-1.0,327.0
30,1,-1.0,332.0
31,1,-1.0,337.0
32,1,-1.0,342.0
33,1,-1.0,347.0
34,1,-1.0,352.0
35,1,-1.0,357.0
36,1,4.0,2.0
37,1,4.0,7.0
38,1,4.0,307.0
39,1,4.0,312.0
40,1,4.0,317.0
41,1,4.0,322.0
42,1,4.0,327.0
43,1,4.0,332.0
44,1,4.0,337.0
45,1,4.0,342.0
46,1,4.0,347.0
47,1,4.0,352.0
48,1,4.0,357.0
49,1,9.0,277.0
50,1,9.0,297.0
51,1,9.0,302.0
52,1,9.0,307.0
53,1,9.0,312.0
54,1,9.0,317.0
55,1,9.0,322.0
56,1,9.0,327.0
57,1,9.0,332.0
58,1,9.0,337.0
59,1,9.0,342.0
60,1,9.0,347.0
61,1,14.0,277.0
62,1,14.0,282.0
63,1,14.0,287.0
64,1,14.0,292.0
65,1,14.0,297.0
66,1,14.0,302.0
67,1,14.0,307.0
68,1,14.0,312.0
69,1,14.0,317.0
70,1,14.0,322.0
71,1,14.0,327.0
72,1,14.0,332.0
73,1,14.0,337.0
74,1,14.0,342.0
75,1,19.0,272.0
76,1,19.0,277.0
77,1,19.0,282.0
78,1,19.0,287.0
79,1,19.0,292.0
80,1,19.0,297.0
81,1,19.0,302.0
82,1,19.0,307.0
83,1,19.0,312.0
84,1,19.0,317.0
85,1,24.0,267.0
86,1,24.0,272.0
87,1,24.0,277.0
88,1,24.0,282.0
89,1,24.0,287.0
90,1,24.0,292.0
91,1,24.0,297.0
92,1,24.0,302.0
93,1,24.0,307.0
94,1,29.0,272.0
95,1,29.0,277.0
96,1,29.0,282.0
97,1,29.0,287.0
98,1,29.0,292.0
99,1,34.0,292.0
100,2,-31.0,317.0
101,2,9.0,282.0
102,2,14.0,272.0
103,2,24.0,262.0
104,2,29.0,262.0
105,2,29.0,267.0
106,2,29.0,297.0
107,2,29.0,302.0
108,2,29.0,307.0
109,2,34.0,282.0
110,2,34.0,287.0
111,2,34.0,297.0
112,2,34.0,302.0
113,2,34.0,307.0
114,2,34.0,322.0
115,2,39.0,287.0
116,2,39.0,292.0
117,2,39.0,297.0
118,2,39.0,302.0
119,2,39.0,307.0
120,3,24.0,312.0
121,3,24.0,322.0
122,3,29.0,312.0
123,3,29.0,317.0
124,3,29.0,322.0
125,3,29.0,327.0
126,3,29.0,332.0
127,3,29.0,337.0
128,3,29.0,342.0
129,3,34.0,312.0
130,3,34.0,317.0
131,3,34.0,327.0
132,3,34.0,332.0
133,3,34.0,337.0
134,3,34.0,342.0
135,3,39.0,312.0
136,3,39.0,317.0
137,3,39.0,322.0
138,3,39.0,327.0
139,3,39.0,332.0
140,3,39.0,337.0
141,3,39.0,342.0
142,3,44.0,352.0
143,3,44.0,357.0
144,4,-31.0,347.0
145,4,24.0,317.0
146,4,24.0,327.0
147,4,24.0,332.0
148,4,24.0,337.0
149,4,29.0,347.0
150,4,34.0,347.0
151,4,34.0,352.0
152,4,39.0,347.0
153,4,39.0,352.0
154,4,44.0,347.0
155,4,54.0,357.0
156,5,-31.0,342.0
157,5,-31.0,352.0
158,5,49.0,357.0
159,5,54.0,12.0
160,5,74.0,57.0
