year,month,lat,lng,probability
0,0,-38,22,1.00000
0,2,-43,23,0.00038
0,2,-43,28,0.00193
0,2,-43,31,0.00042
0,2,-43,38,0.00042
0,2,-42,20,0.00075
0,2,-42,21,0.00221
0,2,-42,24,0.01220
0,2,-42,26,0.00047
0,2,-42,27,0.00094
0,2,-42,29,0.00028
0,2,-42,30,0.00038
0,2,-42,38,0.00085
0,2,-42,39,0.00080
0,2,-41,18,0.13425
0,2,-41,20,0.00038
0,2,-41,21,0.00184
0,2,-41,22,0.00179
0,2,-41,24,0.00047
0,2,-41,25,0.02446
0,2,-41,26,0.00075
0,2,-41,27,0.00151
0,2,-41,28,0.00217
0,2,-41,33,0.00028
0,2,-41,40,0.00028
0,2,-40,15,0.00042
0,2,-40,16,0.00094
0,2,-40,17,0.00282
0,2,-40,18,0.00348
0,2,-40,19,0.00612
0,2,-40,20,0.00089
0,2,-40,23,0.00080
0,2,-40,24,0.04882
0,2,-40,25,0.13425
0,2,-40,28,0.00094
0,2,-40,29,0.00075
0,2,-40,30,0.00052
0,2,-40,32,0.00047
0,2,-40,35,0.00038
0,2,-40,40,0.00028
0,2,-40,41,0.00038
0,2,-40,42,0.00028
0,2,-40,44,0.03661
0,2,-39,16,0.00292
0,2,-39,17,0.00711
0,2,-39,18,0.00904
0,2,-39,19,0.00490
0,2,-39,20,0.00772
0,2,-39,21,0.00344
0,2,-39,22,0.00094
0,2,-39,25,0.00061
0,2,-39,26,0.00056
0,2,-39,28,0.00047
0,2,-39,29,0.00071
0,2,-39,31,0.00047
0,2,-39,32,0.00080
0,2,-39,33,0.00033
0,2,-39,35,0.00071
0,2,-39,36,0.00047
0,2,-39,39,0.00146
0,2,-39,40,0.00047
0,2,-39,42,0.00028
0,2,-38,16,0.00080
0,2,-38,17,0.00593
0,2,-38,18,0.01012
0,2,-38,19,0.00861
0,2,-38,20,0.00480
0,2,-38,21,0.00118
0,2,-38,22,0.00174
0,2,-38,23,0.00146
0,2,-38,24,0.00179
0,2,-38,26,0.00028
0,2,-38,27,0.00033
0,2,-38,28,0.00042
0,2,-38,30,0.00028
0,2,-38,32,0.00080
0,2,-38,36,0.01235
0,2,-38,37,0.02507
0,2,-38,38,0.00136
0,2,-37,17,0.00122
0,2,-37,18,0.00165
0,2,-37,19,0.00028
0,2,-37,22,0.00042
0,2,-37,24,0.00301
0,2,-37,25,0.00052
0,2,-37,26,0.00042
0,2,-37,31,0.00061
0,2,-37,32,0.00038
0,2,-37,33,0.12256
0,2,-37,34,0.02441
0,2,-37,42,0.00047
0,2,-36,14,0.00080
0,2,-36,23,0.00094
0,2,-36,24,0.00108
0,2,-36,33,0.04882
0,2,-36,34,0.06102
0,2,-36,35,0.02441
0,2,-35,14,0.00028
0,2,-35,15,0.01305
0,2,-35,32,0.00052
0,2,-34,15,0.00028
0,2,-33,15,0.00042
0,2,-33,16,0.00066
0,2,-32,15,0.00028
0,2,-30,11,0.13425
0,4,-45,23,0.00888
0,4,-45,24,0.01696
0,4,-45,25,0.00163
0,4,-45,54,0.00195
0,4,-44,18,0.00045
0,4,-44,31,0.00076
0,4,-44,54,0.00071
0,4,-44,59,0.00166
0,4,-44,61,0.00076
0,4,-44,62,0.00089
0,4,-44,63,0.00087
0,4,-44,70,0.00101
0,4,-43,20,0.00062
0,4,-43,21,0.00405
0,4,-43,22,0.00367
0,4,-43,27,0.00048
0,4,-43,30,0.00664
0,4,-43,31,0.01198
0,4,-43,32,0.00478
0,4,-43,33,0.00065
0,4,-43,34,0.00029
0,4,-43,35,0.00033
0,4,-43,46,0.00028
0,4,-43,53,0.00093
0,4,-43,54,0.00173
0,4,-43,55,0.00346
0,4,-43,56,0.00178
0,4,-43,57,0.00143
0,4,-43,58,0.00369
0,4,-43,59,0.00564
0,4,-43,60,0.00048
0,4,-43,61,0.00151
0,4,-43,63,0.00045
0,4,-43,65,0.00146
0,4,-43,66,0.00304
0,4,-43,67,0.00289
0,4,-42,20,0.00204
0,4,-42,21,0.00091
0,4,-42,22,0.00126
0,4,-42,24,0.00028
0,4,-42,25,0.00055
0,4,-42,26,0.00030
0,4,-42,27,0.00044
0,4,-42,28,0.00088
0,4,-42,29,0.00305
0,4,-42,30,0.00713
0,4,-42,31,0.00296
0,4,-42,32,0.00180
0,4,-42,33,0.00056
0,4,-42,34,0.00387
0,4,-42,35,0.00227
0,4,-42,36,0.00113
0,4,-42,40,0.00088
0,4,-42,41,0.00088
0,4,-42,42,0.00044
0,4,-42,43,0.00051
