,child_lat,child_lng,depth,parent_lat,parent_lng
0,-40,21,1,-11.0,43.0
1,-40,31,1,-11.0,43.0
2,-35,26,1,-11.0,43.0
3,-35,31,1,-11.0,43.0
4,-35,36,1,-11.0,43.0
5,-30,31,1,-11.0,43.0
6,-30,36,1,-11.0,43.0
7,-30,41,1,-11.0,43.0
8,-25,31,1,-11.0,43.0
9,-25,36,1,-11.0,43.0
10,-25,41,1,-11.0,43.0
11,-25,96,1,-11.0,43.0
12,-20,36,1,-11.0,43.0
13,-20,41,1,-11.0,43.0
14,-20,46,1,-11.0,43.0
15,-20,76,1,-11.0,43.0
16,-20,81,1,-11.0,43.0
17,-20,86,1,-11.0,43.0
18,-20,91,1,-11.0,43.0
19,-20,96,1,-11.0,43.0
20,-20,101,1,-11.0,43.0
21,-15,41,1,-11.0,43.0
22,-15,46,1,-11.0,43.0
23,-15,51,1,-11.0,43.0
24,-15,56,1,-11.0,43.0
25,-15,61,1,-11.0,43.0
26,-15,66,1,-11.0,43.0
27,-15,71,1,-11.0,43.0
28,-15,76,1,-11.0,43.0
29,-15,81,1,-11.0,43.0
30,-15,86,1,-11.0,43.0
31,-15,91,1,-11.0,43.0
32,-15,96,1,-11.0,43.0
33,-15,101,1,-11.0,43.0
34,-15,106,1,-11.0,43.0
35,-10,41,1,-11.0,43.0
36,-10,46,1,-11.0,43.0
37,-10,51,1,-11.0,43.0
38,-10,56,1,-11.0,43.0
39,-10,61,1,-11.0,43.0
40,-10,66,1,-11.0,43.0
41,-10,71,1,-11.0,43.0
42,-10,76,1,-11.0,43.0
43,-10,81,1,-11.0,43.0
44,-10,86,1,-11.0,43.0
45,-10,91,1,-11.0,43.0
46,-10,96,1,-11.0,43.0
47,-10,101,1,-11.0,43.0
48,-10,106,1,-11.0,43.0
49,-10,111,1,-11.0,43.0
50,-5,36,1,-11.0,43.0
51,-5,41,1,-11.0,43.0
52,-5,46,1,-11.0,43.0
53,-5,51,1,-11.0,43.0
54,-5,56,1,-11.0,43.0
55,-5,61,1,-11.0,43.0
56,-5,66,1,-11.0,43.0
57,-5,71,1,-11.0,43.0
58,-5,76,1,-11.0,43.0
59,-5,81,1,-11.0,43.0
60,-5,86,1,-11.0,43.0
61,-5,91,1,-11.0,43.0
62,-5,96,1,-11.0,43.0
63,-5,101,1,-11.0,43.0
64,-5,106,1,-11.0,43.0
65,0,41,1,-11.0,43.0
66,0,46,1,-11.0,43.0
67,0,51,1,-11.0,43.0
68,0,56,1,-11.0,43.0
69,0,61,1,-11.0,43.0
70,0,66,1,-11.0,43.0
71,0,71,1,-11.0,43.0
72,0,76,1,-11.0,43.0
73,0,81,1,-11.0,43.0
74,0,86,1,-11.0,43.0
75,0,91,1,-11.0,43.0
76,0,96,1,-11.0,43.0
77,5,46,1,-11.0,43.0
78,5,51,1,-11.0,43.0
79,5,56,1,-11.0,43.0
80,5,61,1,-11.0,43.0
81,5,66,1,-11.0,43.0
82,5,71,1,-11.0,43.0
83,5,76,1,-11.0,43.0
84,5,81,1,-11.0,43.0
85,5,86,1,-11.0,43.0
86,5,91,1,-11.0,43.0
87,5,96,1,-11.0,43.0
88,10,41,1,-11.0,43.0
89,10,46,1,-11.0,43.0
90,10,51,1,-11.0,43.0
91,10,56,1,-11.0,43.0
92,10,61,1,-11.0,43.0
93,10,66,1,-11.0,43.0
94,10,71,1,-11.0,43.0
95,10,76,1,-11.0,43.0
96,10,81,1,-11.0,43.0
97,10,86,1,-11.0,43.0
98,10,91,1,-11.0,43.0
99,10,96,1,-11.0,43.0
100,15,41,1,-11.0,43.0
101,15,46,1,-11.0,43.0
102,15,51,1,-11.0,43.0
103,15,56,1,-11.0,43.0
104,15,61,1,-11.0,43.0
105,15,66,1,-11.0,43.0
106,15,71,1,-11.0,43.0
