,depth,node_lat,node_lng
0,0,-11.0,43.0
1,1,-40.0,21.0
2,1,-40.0,31.0
3,1,-35.0,26.0
4,1,-35.0,31.0
5,1,-35.0,36.0
6,1,-30.0,31.0
7,1,-30.0,36.0
8,1,-30.0,41.0
9,1,-25.0,31.0
10,1,-25.0,36.0
11,1,-25.0,41.0
12,1,-25.0,96.0
13,1,-20.0,36.0
14,1,-20.0,41.0
15,1,-20.0,46.0
16,1,-20.0,76.0
17,1,-20.0,81.0
18,1,-20.0,86.0
19,1,-20.0,91.0
20,1,-20.0,96.0
21,1,-20.0,101.0
22,1,-15.0,41.0
23,1,-15.0,46.0
24,1,-15.0,51.0
25,1,-15.0,56.0
26,1,-15.0,61.0
27,1,-15.0,66.0
28,1,-15.0,71.0
29,1,-15.0,76.0
30,1,-15.0,81.0
31,1,-15.0,86.0
32,1,-15.0,91.0
33,1,-15.0,96.0
34,1,-15.0,101.0
35,1,-15.0,106.0
36,1,-10.0,41.0
37,1,-10.0,46.0
38,1,-10.0,51.0
39,1,-10.0,56.0
40,1,-10.0,61.0
41,1,-10.0,66.0
42,1,-10.0,71.0
43,1,-10.0,76.0
44,1,-10.0,81.0
45,1,-10.0,86.0
46,1,-10.0,91.0
47,1,-10.0,96.0
48,1,-10.0,101.0
49,1,-10.0,106.0
50,1,-10.0,111.0
51,1,-5.0,36.0
52,1,-5.0,41.0
53,1,-5.0,46.0
54,1,-5.0,51.0
55,1,-5.0,56.0
56,1,-5.0,61.0
57,1,-5.0,66.0
58,1,-5.0,71.0
59,1,-5.0,76.0
60,1,-5.0,81.0
61,1,-5.0,86.0
62,1,-5.0,91.0
63,1,-5.0,96.0
64,1,-5.0,101.0
65,1,-5.0,106.0
66,1,0.0,41.0
67,1,0.0,46.0
68,1,0.0,51.0
69,1,0.0,56.0
70,1,0.0,61.0
71,1,0.0,66.0
72,1,0.0,71.0
73,1,0.0,76.0
74,1,0.0,81.0
75,1,0.0,86.0
76,1,0.0,91.0
77,1,0.0,96.0
78,1,5.0,46.0
79,1,5.0,51.0
80,1,5.0,56.0
81,1,5.0,61.0
82,1,5.0,66.0
83,1,5.0,71.0
84,1,5.0,76.0
85,1,5.0,81.0
86,1,5.0,86.0
87,1,5.0,91.0
88,1,5.0,96.0
89,1,10.0,41.0
90,1,10.0,46.0
91,1,10.0,51.0
92,1,10.0,56.0
93,1,10.0,61.0
94,1,10.0,66.0
95,1,10.0,71.0
96,1,10.0,76.0
97,1,10.0,81.0
98,1,10.0,86.0
99,1,10.0,91.0
100,1,10.0,96.0
101,1,15.0,41.0
102,1,15.0,46.0
103,1,15.0,51.0
104,1,15.0,56.0
105,1,15.0,61.0
106,1,15.0,66.0
107,1,15.0,71.0
108,1,15.0,76.0
109,1,15.0,81.0
110,1,15.0,86.0
111,1,15.0,91.0
112,1,15.0,96.0
113,1,20.0,56.0
114,1,20.0,61.0
115,1,20.0,66.0
116,1,20.0,71.0
117,1,20.0,91.0
118,2,-35.0,41.0
119,2,-35.0,46.0
120,2,-35.0,51.0
121,2,-35.0,61.0
122,2,-30.0,46.0
123,2,-30.0,51.0
124,2,-30.0,56.0
125,2,-30.0,61.0
126,2,-30.0,66.0
127,2,-30.0,71.0
128,2,-30.0,76.0
129,2,-25.0,46.0
130,2,-25.0,51.0
131,2,-25.0,56.0
132,2,-25.0,61.0
133,2,-25.0,66.0
134,2,-25.0,71.0
135,2,-25.0,76.0
136,2,-25.0,81.0
137,2,-25.0,86.0
138,2,-25.0,91.0
139,2,-20.0,51.0
140,2,-20.0,56.0
141,2,-20.0,61.0
142,2,-20.0,66.0
143,2,-10.0,116.0
144,2,5.0,101.0
145,2,20.0,86.0
146,2,20.0,96.0
147,2,25.0,61.0
148,3,-40.0,36.0
149,3,-40.0,46.0
150,3,-35.0,56.0
151,3,-35.0,66.0
152,3,-35.0,71.0
153,3,-35.0,76.0
154,3,-30.0,81.0
155,3,-30.0,86.0
156,3,-30.0,91.0
157,4,-40.0,51.0
158,4,-40.0,146.0
159,4,-35.0,81.0
160,4,-35.0,86.0
161,4,-35.0,91.0
162,4,-35.0,131.0
163,4,-35.0,136.0
164,4,-30.0,341.0
165,4,-30.0,346.0
166,5,-40.0,141.0
167,5,-35.0,331.0
168,5,-35.0,336.0
169,5,-35.0,341.0
170,5,-35.0,346.0
171,5,-35.0,351.0
172,5,-35.0,356.0
173,5,-30.0,326.0
174,5,-30.0,331.0
175,5,-30.0,336.0
176,5,-30.0,351.0
177,5,-30.0,356.0
178,5,-25.0,336.0
179,5,-25.0,341.0
