year,month,lat,lng,probability
0,0,1,357,1.00000
0,2,-5,344,0.00034
0,2,-5,345,0.00028
0,2,-4,345,0.00298
0,2,-4,349,0.20414
0,2,-3,340,0.00084
0,2,-3,341,0.00051
0,2,-3,344,0.00073
0,2,-3,345,0.00096
0,2,-3,348,0.00056
0,2,-3,349,0.00096
0,2,-3,350,0.00118
0,2,-3,351,0.00084
0,2,-3,357,0.00079
0,2,-2,345,0.00034
0,2,-2,347,0.00045
0,2,-2,348,0.00028
0,2,-2,352,0.00051
0,2,-1,0,0.00129
0,2,-1,1,0.00141
0,2,-1,352,0.00056
0,2,-1,357,0.08794
0,2,0,0,0.00096
0,2,0,1,0.00388
0,2,0,2,0.00467
0,2,0,3,0.00118
0,2,0,6,0.00534
0,2,0,7,0.01119
0,2,0,8,0.00163
0,2,0,346,0.00028
0,2,0,347,0.00039
0,2,0,351,0.00073
0,2,0,355,0.00304
0,2,0,356,0.01001
0,2,0,357,0.00051
0,2,0,358,0.00034
0,2,0,359,0.00096
0,2,1,0,0.00635
0,2,1,1,0.00096
0,2,1,2,0.00124
0,2,1,3,0.00197
0,2,1,4,0.00214
0,2,1,5,0.00219
0,2,1,6,0.00388
0,2,1,7,0.02806
0,2,1,8,0.00399
0,2,1,332,0.07291
0,2,1,344,0.00067
0,2,1,345,0.00034
0,2,1,346,0.00096
0,2,1,350,0.00056
0,2,1,352,0.00051
0,2,1,353,0.00067
0,2,1,354,0.00067
0,2,1,355,0.00332
0,2,1,356,0.01496
0,2,1,357,0.00444
0,2,1,358,0.00647
0,2,1,359,0.00191
0,2,2,0,0.00073
0,2,2,4,0.00107
0,2,2,5,0.00349
0,2,2,6,0.00461
0,2,2,7,0.00562
0,2,2,331,0.11665
0,2,2,332,0.07291
0,2,2,343,0.00124
0,2,2,354,0.00045
0,2,2,355,0.00118
0,2,2,356,0.00062
0,2,2,359,0.00056
0,2,3,330,0.21872
0,2,3,331,0.05833
0,4,-10,346,0.00040
0,4,-10,347,0.00114
0,4,-10,349,0.00077
0,4,-9,339,0.00028
0,4,-9,346,0.00028
0,4,-9,347,0.00074
0,4,-9,349,0.00032
0,4,-9,350,0.00046
0,4,-9,352,0.00150
0,4,-8,331,0.00025
0,4,-8,342,0.00048
0,4,-8,343,0.00048
0,4,-8,347,0.00051
0,4,-8,348,0.00044
0,4,-8,350,0.00026
0,4,-8,351,0.00073
0,4,-8,352,0.00106
0,4,-8,353,0.03585
0,4,-7,327,0.00037
0,4,-7,328,0.00072
0,4,-7,331,0.01292
0,4,-7,336,0.00051
0,4,-7,342,0.00077
0,4,-7,343,0.00098
0,4,-7,344,0.00026
0,4,-7,346,0.00032
0,4,-7,350,0.00032
0,4,-7,351,0.00037
0,4,-7,353,0.00030
0,4,-7,357,0.00041
0,4,-6,330,0.02842
0,4,-6,331,0.04137
0,4,-6,332,0.02124
0,4,-6,334,0.00056
0,4,-6,335,0.00038
0,4,-6,336,0.00028
0,4,-6,337,0.00103
0,4,-6,341,0.00126
0,4,-6,342,0.00110
0,4,-6,343,0.00056
0,4,-6,346,0.00075
0,4,-6,347,0.00088
0,4,-6,353,0.00038
0,4,-6,354,0.00041
0,4,-6,356,0.00032
0,4,-5,7,0.00072
0,4,-5,322,0.00030
0,4,-5,325,0.01291
0,4,-5,326,0.01316
0,4,-5,327,0.00268
0,4,-5,329,0.02582
0,4,-5,332,0.00052
0,4,-5,333,0.00076
0,4,-5,334,0.00042
0,4,-5,335,0.00052
0,4,-5,336,0.00035
0,4,-5,337,0.00099
0,4,-5,339,0.00057
0,4,-5,340,0.00115
0,4,-5,341,0.00212
0,4,-5,342,0.00070
0,4,-5,343,0.00033
0,4,-5,344,0.00032
0,4,-5,345,0.00069
0,4,-5,354,0.00072
0,4,-5,358,0.00105
0,4,-5,359,0.00038
0,4,-4,0,0.00168
0,4,-4,1,0.00124
0,4,-4,2,0.00106
0,4,-4,3,0.00068
0,4,-4,4,0.00054
0,4,-4,6,0.00044
0,4,-4,7,0.00074
0,4,-4,322,0.00032
0,4,-4,325,0.00046
0,4,-4,326,0.00047
0,4,-4,336,0.00033
0,4,-4,337,0.00060
0,4,-4,338,0.00510
0,4,-4,339,0.01859
0,4,-4,340,0.00033
0,4,-4,342,0.00034
0,4,-4,343,0.00498
0,4,-4,344,0.01352
0,4,-4,345,0.00028
0,4,-4,346,0.00046
0,4,-4,356,0.00061
0,4,-4,357,0.00098
0,4,-4,358,0.00136
0,4,-4,359,0.00196
0,4,-3,0,0.00159
0,4,-3,1,0.00099
0,4,-3,2,0.00056
0,4,-3,3,0.00080
0,4,-3,5,0.00030
0,4,-3,6,0.00039
0,4,-3,320,0.00262
0,4,-3,321,0.00778
0,4,-3,322,0.01038
0,4,-3,339,0.00044
0,4,-3,341,0.00064
0,4,-3,342,0.00032
